onset,duration,run_number,trial_number,task,fixation_location,pursuit_amplitude,pursuit_angle,image_id,trial_onset,trial_offset,check_fix_onset,iti_onset,iti_offset,fixation_onset,fixation_offset,pursuit_onset,pursuit_offset,freeview_onset,freeview_offset,iti_duration,fixation_duration,pursuit_duration,freeview_duration
95947.61274,6.0102184,1,1,1,13.0,,,,11093840.0,11099862.0,0.0,11093852.0,11099862.0,0.0,0.0,0.0,0.0,0.0,0.0,6010.0,0.0,0.0,0.0
95953.63126,1.1920604,1,2,2,24.0,,,,11099863.0,11101062.0,0.0,0.0,0.0,11099869.0,11101062.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
95954.83164,1.1920651,1,3,2,11.0,,,,11101063.0,11102263.0,0.0,0.0,0.0,11101069.0,11102263.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
95956.03204,1.2003898,1,4,2,3.0,,,,11102263.0,11103472.0,0.0,0.0,0.0,11102269.0,11103471.0,0.0,0.0,0.0,0.0,0.0,1202.0,0.0,0.0
95957.24079,1.1920453,1,5,2,14.0,,,,11103475.0,11104673.0,0.0,0.0,0.0,11103479.0,11104672.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
95958.44117,1.1920412,1,6,2,25.0,,,,11104675.0,11105873.0,0.0,0.0,0.0,11104679.0,11105872.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
95959.64156,1.1920685,1,7,2,18.0,,,,11105873.0,11107073.0,0.0,0.0,0.0,11105879.0,11107073.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
95960.84199,1.1920934,1,8,2,17.0,,,,11107073.0,11108273.0,0.0,0.0,0.0,11107079.0,11108273.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
95962.04238,1.1920362,1,9,2,16.0,,,,11108273.0,11109473.0,0.0,0.0,0.0,11108280.0,11109473.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
95963.24276,1.1920473,1,10,2,21.0,,,,11109473.0,11110674.0,0.0,0.0,0.0,11109480.0,11110674.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
95964.44318,1.1920426,1,11,2,23.0,,,,11110674.0,11111874.0,0.0,0.0,0.0,11110681.0,11111874.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
95965.64356,1.1920903,1,12,2,13.0,,,,11111874.0,11113075.0,0.0,0.0,0.0,11111881.0,11113075.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
95966.84397,1.1920331,1,13,2,2.0,,,,11113075.0,11114275.0,0.0,0.0,0.0,11113081.0,11114275.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
95968.04434,1.1920823,1,14,2,15.0,,,,11114275.0,11115475.0,0.0,0.0,0.0,11114282.0,11115475.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
95969.24476,1.1921096,1,15,2,9.0,,,,11115475.0,11116676.0,0.0,0.0,0.0,11115482.0,11116676.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
95970.44521,1.192041,1,16,2,7.0,,,,11116676.0,11117876.0,0.0,0.0,0.0,11116683.0,11117876.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
95971.64563,1.191996,1,17,2,9.0,,,,11117876.0,11119077.0,0.0,0.0,0.0,11117883.0,11119077.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
95972.84596,1.1920688,1,18,2,10.0,,,,11119077.0,11120277.0,0.0,0.0,0.0,11119083.0,11120277.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
95974.0464,1.1919981,1,19,2,6.0,,,,11120277.0,11121477.0,0.0,0.0,0.0,11120284.0,11121477.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
95975.24673,1.192122,1,20,2,12.0,,,,11121477.0,11122678.0,0.0,0.0,0.0,11121484.0,11122678.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
95976.44717,1.1920241,1,21,2,19.0,,,,11122678.0,11123878.0,0.0,0.0,0.0,11122685.0,11123878.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
95977.64754,1.1920642,1,22,2,23.0,,,,11123878.0,11125078.0,0.0,0.0,0.0,11123885.0,11125078.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
95978.84794,1.1921184,1,23,2,5.0,,,,11125079.0,11126279.0,0.0,0.0,0.0,11125086.0,11126279.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
95980.04835,1.1920609,1,24,2,17.0,,,,11126279.0,11127479.0,0.0,0.0,0.0,11126286.0,11127479.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
95981.24874,1.1920791,1,25,2,20.0,,,,11127479.0,11128680.0,0.0,0.0,0.0,11127486.0,11128680.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
