onset,duration,run_number,trial_number,task,fixation_location,pursuit_amplitude,pursuit_angle,image_id,trial_onset,trial_offset,check_fix_onset,iti_onset,iti_offset,fixation_onset,fixation_offset,pursuit_onset,pursuit_offset,freeview_onset,freeview_offset,iti_duration,fixation_duration,pursuit_duration,freeview_duration
90079.61624,6.0103054,2,1,1,13.0,,,,4296428.0,4302454.0,0.0,4296444.0,4302453.0,0.0,0.0,0.0,0.0,0.0,0.0,6009.0,0.0,0.0,0.0
90085.63488,1.1920503,2,2,2,25.0,,,,4302455.0,4303655.0,0.0,0.0,0.0,4302460.0,4303654.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
90086.83526,1.1920805,2,3,2,12.0,,,,4303656.0,4304854.0,0.0,0.0,0.0,4303661.0,4304854.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
90088.03568,1.1920733,2,4,2,13.0,,,,4304855.0,4306055.0,0.0,0.0,0.0,4304861.0,4306055.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
90089.23607,1.1920622,2,5,2,5.0,,,,4306058.0,4307257.0,0.0,0.0,0.0,4306062.0,4307255.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
90090.43647,1.1920615,2,6,2,25.0,,,,4307258.0,4308456.0,0.0,0.0,0.0,4307263.0,4308456.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
90091.63687,1.1920686,2,7,2,22.0,,,,4308457.0,4309656.0,0.0,0.0,0.0,4308463.0,4309656.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
90092.83733,1.1920757,2,8,2,21.0,,,,4309657.0,4310856.0,0.0,0.0,0.0,4309663.0,4310856.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
90094.03767,1.1920705,2,9,2,2.0,,,,4310857.0,4312057.0,0.0,0.0,0.0,4310863.0,4312057.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
90095.23807,1.1920631,2,10,2,3.0,,,,4312057.0,4313257.0,0.0,0.0,0.0,4312064.0,4313257.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
90096.43848,1.192066,2,11,2,14.0,,,,4313258.0,4314458.0,0.0,0.0,0.0,4313264.0,4314458.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
90097.63887,1.1920674,2,12,2,18.0,,,,4314458.0,4315658.0,0.0,0.0,0.0,4314464.0,4315658.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
90098.83927,1.192065,2,13,2,16.0,,,,4315658.0,4316859.0,0.0,0.0,0.0,4315665.0,4316858.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
90100.03968,1.1920609,2,14,2,3.0,,,,4316859.0,4318059.0,0.0,0.0,0.0,4316865.0,4318059.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
90101.24007,1.1920631,2,15,2,16.0,,,,4318059.0,4319259.0,0.0,0.0,0.0,4318066.0,4319259.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
90102.44047,1.1920614,2,16,2,22.0,,,,4319259.0,4320460.0,0.0,0.0,0.0,4319266.0,4320460.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
90103.64087,1.1920658,2,17,2,13.0,,,,4320460.0,4321660.0,0.0,0.0,0.0,4320466.0,4321660.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
