onset	duration	run_number	trial_number	task	fixation_location	pursuit_amplitude	pursuit_angle	image_id
3746.16722	5.9990677	2	1	1	n/a	n/a	n/a	n/a
3752.174624	1.1914528	2	2	2	11	n/a	n/a	n/a
3753.374403	1.1914948	2	3	2	5	n/a	n/a	n/a
3754.574233	1.1915822	2	4	2	25	n/a	n/a	n/a
3755.774053	1.1914736	2	5	2	21	n/a	n/a	n/a
3756.973851	1.191546	2	6	2	3	n/a	n/a	n/a
3758.173715	1.1916036	2	7	2	11	n/a	n/a	n/a
3759.373546	1.1915334	2	8	2	12	n/a	n/a	n/a
3760.573369	1.1914916	2	9	2	1	n/a	n/a	n/a
3761.773345	1.1913447	2	10	2	16	n/a	n/a	n/a
3762.973145	1.1913659	2	11	2	10	n/a	n/a	n/a
3764.172987	1.1913566	2	12	2	4	n/a	n/a	n/a
3765.372671	1.1915054	2	13	2	24	n/a	n/a	n/a
3766.572512	1.1915363	2	14	2	12	n/a	n/a	n/a
3767.77231	1.1915088	2	15	2	15	n/a	n/a	n/a
3768.972152	1.1914972	2	16	2	17	n/a	n/a	n/a
3770.171969	1.1914827	2	17	2	6	n/a	n/a	n/a
3771.371851	1.1914607	2	18	2	9	n/a	n/a	n/a
3772.571641	1.1914627	2	19	2	21	n/a	n/a	n/a
3773.771557	1.1914002	2	20	2	15	n/a	n/a	n/a
3774.97147	1.1913131	2	21	2	5	n/a	n/a	n/a
3776.17126	1.1914148	2	22	2	10	n/a	n/a	n/a
3777.370932	1.1914978	2	23	2	19	n/a	n/a	n/a
3778.570798	1.1914429	2	24	2	13	n/a	n/a	n/a
3779.770601	1.1916805	2	25	2	3	n/a	n/a	n/a
3780.970565	1.1913526	2	26	2	1	n/a	n/a	n/a
3782.170394	1.1913631	2	27	2	24	n/a	n/a	n/a
3783.370082	1.1916059	2	28	2	2	n/a	n/a	n/a
3784.570021	1.1913716	2	29	2	25	n/a	n/a	n/a
3785.76987	1.1913606	2	30	2	18	n/a	n/a	n/a
3786.969558	1.1915093	2	31	2	20	n/a	n/a	n/a
3788.169402	1.1914676	2	32	2	23	n/a	n/a	n/a
3789.369408	1.1913172	2	33	2	14	n/a	n/a	n/a
3790.569044	1.1914661	2	34	2	22	n/a	n/a	n/a
3791.768869	1.1914723	2	35	2	19	n/a	n/a	n/a
3792.968672	1.1915185	2	36	2	13	n/a	n/a	n/a
3794.168524	1.1915019	2	37	2	6	n/a	n/a	n/a
3795.36836	1.1914523	2	38	2	8	n/a	n/a	n/a
3796.568182	1.1914335	2	39	2	20	n/a	n/a	n/a
3797.767948	1.1915352	2	40	2	22	n/a	n/a	n/a
3798.967949	1.1914321	2	41	2	16	n/a	n/a	n/a
3800.167855	1.1914258	2	42	2	23	n/a	n/a	n/a
3801.367497	1.1915672	2	43	2	17	n/a	n/a	n/a
3802.567425	1.1914625	2	44	2	2	n/a	n/a	n/a
3803.767114	1.19148	2	45	2	18	n/a	n/a	n/a
3804.96694	1.1915967	2	46	2	7	n/a	n/a	n/a
3806.166759	1.1915555	2	47	2	8	n/a	n/a	n/a
3807.366589	1.1915603	2	48	2	7	n/a	n/a	n/a
3808.566506	1.1913896	2	49	2	14	n/a	n/a	n/a
3809.766219	1.191582	2	50	2	4	n/a	n/a	n/a
3810.966282	1.1912562	2	51	2	9	n/a	n/a	n/a
3812.16595	5.99084	2	52	1	n/a	n/a	n/a	n/a
3818.173566	1.1914743	2	53	3	n/a	3	15	n/a
3819.381666	1.1913313	2	54	3	n/a	1	10	n/a
3820.58142	1.1915119	2	55	3	n/a	2	10	n/a
3821.781174	1.1915264	2	56	3	n/a	3	1	n/a
3822.980967	1.1914997	2	57	3	n/a	1	3	n/a
3824.180794	1.1915928	2	58	3	n/a	2	6	n/a
3825.380649	1.1915134	2	59	3	n/a	2	1	n/a
3826.580508	1.1915179	2	60	3	n/a	2	11	n/a
3827.780481	1.1913763	2	61	3	n/a	3	11	n/a
3828.980246	1.1915192	2	62	3	n/a	3	18	n/a
3830.18009	1.1913439	2	63	3	n/a	2	2	n/a
3831.379769	1.1915601	2	64	3	n/a	3	6	n/a
3832.579634	1.1914551	2	65	3	n/a	2	5	n/a
3833.779581	1.1914057	2	66	3	n/a	3	14	n/a
3834.979347	1.1914297	2	67	3	n/a	1	9	n/a
3836.179105	1.1914927	2	68	3	n/a	3	11	n/a
3837.379146	1.1912832	2	69	3	n/a	3	6	n/a
3838.578932	1.1913963	2	70	3	n/a	1	2	n/a
3839.778606	1.1914665	2	71	3	n/a	1	10	n/a
3840.978401	1.1915057	2	72	3	n/a	1	15	n/a
3842.178236	1.1915734	2	73	3	n/a	2	16	n/a
3843.378133	1.1913894	2	74	3	n/a	1	1	n/a
3844.57801	1.1915355	2	75	3	n/a	2	7	n/a
3845.777719	1.191464	2	76	3	n/a	1	12	n/a
3846.977515	1.1914947	2	77	3	n/a	1	3	n/a
3848.177368	1.1914522	2	78	3	n/a	1	15	n/a
3849.377289	1.1914808	2	79	3	n/a	3	13	n/a
3850.577005	1.1914896	2	80	3	n/a	1	5	n/a
3851.776803	1.1914973	2	81	3	n/a	1	6	n/a
3852.976721	1.1914181	2	82	3	n/a	3	4	n/a
3854.176486	1.1915363	2	83	3	n/a	3	16	n/a
3855.376304	1.1915183	2	84	3	n/a	2	16	n/a
3856.57612	1.1915143	2	85	3	n/a	2	12	n/a
3857.775962	1.1915212	2	86	3	n/a	2	8	n/a
3858.975842	1.191453	2	87	3	n/a	3	7	n/a
3860.175632	1.1915761	2	88	3	n/a	2	18	n/a
3861.375515	1.1916374	2	89	3	n/a	2	7	n/a
3862.575422	1.1913661	2	90	3	n/a	3	18	n/a
3863.775121	1.1916211	2	91	3	n/a	3	13	n/a
3864.97507	1.1913868	2	92	3	n/a	1	5	n/a
3866.174803	1.1914538	2	93	3	n/a	3	8	n/a
3867.374591	1.1915066	2	94	3	n/a	2	17	n/a
3868.574587	1.1913159	2	95	3	n/a	3	15	n/a
3869.774227	1.1915163	2	96	3	n/a	1	10	n/a
3870.974071	1.1915037	2	97	3	n/a	2	7	n/a
3872.173888	1.1915991	2	98	3	n/a	1	17	n/a
3873.373782	1.191452	2	99	3	n/a	3	1	n/a
3874.573704	1.1913256	2	100	3	n/a	2	3	n/a
3875.773505	1.1913491	2	101	3	n/a	1	13	n/a
3876.97333	1.1913832	2	102	3	n/a	2	7	n/a
3878.173046	1.191462	2	103	3	n/a	1	14	n/a
3879.373009	1.1913325	2	104	3	n/a	2	18	n/a
3880.572684	1.1914808	2	105	3	n/a	3	10	n/a
3881.772732	1.191261799	2	106	3	n/a	1	2	n/a
3882.972399	5.9907678	2	107	1	n/a	n/a	n/a	n/a
3888.988282	3.5909591	2	108	4	n/a	n/a	n/a	7
3892.604396	3.591231364	2	109	4	n/a	n/a	n/a	5
3896.212203	3.5910437	2	110	4	n/a	n/a	n/a	9
3899.811559	3.5911808	2	111	4	n/a	n/a	n/a	8
3903.41933	3.591186	2	112	4	n/a	n/a	n/a	3
3907.018863	3.5911795	2	113	4	n/a	n/a	n/a	1
3910.626773	3.5910418	2	114	4	n/a	n/a	n/a	10
3914.234473	3.5912864	2	115	4	n/a	n/a	n/a	4
3917.842386	3.5910243	2	116	4	n/a	n/a	n/a	6
3921.45011	3.5911122	2	117	4	n/a	n/a	n/a	2
3925.049589	5.9909246	2	118	1	n/a	n/a	n/a	n/a
