onset	duration	run_number	trial_number	task	fixation_location	pursuit_amplitude	pursuit_angle	image_id
5740.135743	5.9906784	1	1	1	13	n/a	n/a	n/a
5746.134998	1.19124007	1	2	2	20	n/a	n/a	n/a
5747.334577	1.1914796	1	3	2	7	n/a	n/a	n/a
5748.534376	1.1915103	1	4	2	20	n/a	n/a	n/a
5749.734221	1.1914527	1	5	2	14	n/a	n/a	n/a
5750.94248	1.1914112	1	6	2	16	n/a	n/a	n/a
5752.14223	1.1914672	1	7	2	2	n/a	n/a	n/a
5753.342005	1.1915823	1	8	2	15	n/a	n/a	n/a
5754.541876	1.191447	1	9	2	10	n/a	n/a	n/a
5755.741835	1.1913572	1	10	2	15	n/a	n/a	n/a
5756.941522	1.1916416	1	11	2	18	n/a	n/a	n/a
5758.141527	1.1913016	1	12	2	22	n/a	n/a	n/a
5759.341161	1.1915009	1	13	2	12	n/a	n/a	n/a
5760.541093	1.1913938	1	14	2	19	n/a	n/a	n/a
5761.740805	1.1916084	1	15	2	5	n/a	n/a	n/a
5762.940742	1.1915107	1	16	2	6	n/a	n/a	n/a
5764.140576	1.1913493	1	17	2	10	n/a	n/a	n/a
5765.340259	1.1914921	1	18	2	3	n/a	n/a	n/a
5766.540089	1.1914835	1	19	2	9	n/a	n/a	n/a
5767.740085	1.1913411	1	20	2	4	n/a	n/a	n/a
5768.939757	1.1914634	1	21	2	3	n/a	n/a	n/a
5770.139712	1.1913323	1	22	2	1	n/a	n/a	n/a
5771.339396	1.1914608	1	23	2	11	n/a	n/a	n/a
5772.539338	1.1913675	1	24	2	7	n/a	n/a	n/a
5773.739231	1.1913039	1	25	2	14	n/a	n/a	n/a
5774.938987	1.1913411	1	26	2	21	n/a	n/a	n/a
5776.138783	1.1913701	1	27	2	25	n/a	n/a	n/a
5777.338638	1.191389	1	28	2	24	n/a	n/a	n/a
5778.53835	1.1914987	1	29	2	18	n/a	n/a	n/a
5779.738159	1.1914926	1	30	2	23	n/a	n/a	n/a
5780.938105	1.1913655	1	31	2	13	n/a	n/a	n/a
5782.1378	1.19172753	1	32	2	24	n/a	n/a	n/a
