onset	duration	run_number	trial_number	task	fixation_location	pursuit_amplitude	pursuit_angle	image_id
72246.69525	5.9936171	1	1	1	13	n/a	n/a	n/a
72252.69717	1.1920824	1	2	2	10	n/a	n/a	n/a
72253.89748	1.1921716	1	3	2	13	n/a	n/a	n/a
72255.09794	1.1920884	1	4	2	9	n/a	n/a	n/a
72256.29834	1.1920718	1	5	2	24	n/a	n/a	n/a
72257.50709	1.1921915	1	6	2	22	n/a	n/a	n/a
72258.70769	1.1918495	1	7	2	18	n/a	n/a	n/a
72259.9079	1.192069	1	8	2	2	n/a	n/a	n/a
72261.10843	1.1920422	1	9	2	17	n/a	n/a	n/a
72262.30862	1.1921721	1	10	2	7	n/a	n/a	n/a
72263.50909	1.1921208	1	11	2	11	n/a	n/a	n/a
72264.7096	1.1920047	1	12	2	17	n/a	n/a	n/a
72265.90988	1.1920739	1	13	2	22	n/a	n/a	n/a
72267.11033	1.1919885	1	14	2	10	n/a	n/a	n/a
72268.31068	1.1920593	1	15	2	23	n/a	n/a	n/a
72269.51124	1.1920173	1	16	2	14	n/a	n/a	n/a
72270.71151	1.1920865	1	17	2	11	n/a	n/a	n/a
72271.91193	1.1920417	1	18	2	20	n/a	n/a	n/a
72273.11238	1.1918776	1	19	2	14	n/a	n/a	n/a
72274.31276	1.1920077	1	20	2	21	n/a	n/a	n/a
72275.51304	1.1921444	1	21	2	8	n/a	n/a	n/a
72276.71352	1.1919817	1	22	2	15	n/a	n/a	n/a
72277.91401	1.1920103	1	23	2	24	n/a	n/a	n/a
72279.11437	1.1919238	1	24	2	15	n/a	n/a	n/a
72280.31473	1.1919323	1	25	2	5	n/a	n/a	n/a
72281.51504	1.1920753	1	26	2	1	n/a	n/a	n/a
72282.71551	1.1919974	1	27	2	16	n/a	n/a	n/a
72283.91592	1.1919895	1	28	2	6	n/a	n/a	n/a
72285.11623	1.1921504	1	29	2	1	n/a	n/a	n/a
72286.3166	1.1920949	1	30	2	25	n/a	n/a	n/a
72287.51703	1.1921043	1	31	2	16	n/a	n/a	n/a
72288.71751	1.1919927	1	32	2	3	n/a	n/a	n/a
72289.91776	1.1921151	1	33	2	9	n/a	n/a	n/a
72291.11835	1.1920287	1	34	2	19	n/a	n/a	n/a
72292.31868	1.1919954	1	35	2	2	n/a	n/a	n/a
72293.51903	1.1920462	1	36	2	21	n/a	n/a	n/a
72294.71952	1.1919594	1	37	2	7	n/a	n/a	n/a
72295.91985	1.1920162	1	38	2	25	n/a	n/a	n/a
72297.12025	1.1920127	1	39	2	12	n/a	n/a	n/a
72298.32053	1.1921232	1	40	2	20	n/a	n/a	n/a
72299.52112	1.1919639	1	41	2	19	n/a	n/a	n/a
72300.7214	1.192077	1	42	2	8	n/a	n/a	n/a
72301.92181	1.1920829	1	43	2	4	n/a	n/a	n/a
72303.1222	1.1921656	1	44	2	5	n/a	n/a	n/a
72304.32264	1.192153	1	45	2	3	n/a	n/a	n/a
72305.52308	1.1920791	1	46	2	4	n/a	n/a	n/a
72306.72344	1.1920647	1	47	2	12	n/a	n/a	n/a
72307.92388	1.1919827	1	48	2	18	n/a	n/a	n/a
72309.12418	1.1920749	1	49	2	6	n/a	n/a	n/a
72310.32476	1.1919984	1	50	2	23	n/a	n/a	n/a
72311.52504	1.1920656	1	51	2	13	n/a	n/a	n/a
72312.72552	5.9934752	1	52	1	13	n/a	n/a	n/a
