onset	duration	run_number	trial_number	task	fixation_location	pursuit_amplitude	pursuit_angle	image_id
775606.0754	58.1145865	1	1	1	13	n/a	n/a	n/a
775664.334	12.7639816	1	2	2	11	n/a	n/a	n/a
775677.3885	11.2737286	1	3	2	7	n/a	n/a	n/a
775688.9568	13.4730956	1	4	2	19	n/a	n/a	n/a
775702.575	14.3951065	1	5	2	24	n/a	n/a	n/a
775717.1126	14.3602194	1	6	2	17	n/a	n/a	n/a
775731.6142	12.1490684	1	7	2	13	n/a	n/a	n/a
775744.0669	12.298729	1	8	2	12	n/a	n/a	n/a
775756.5099	14.3730512	1	9	2	14	n/a	n/a	n/a
775771.0294	14.5449492	1	10	2	18	n/a	n/a	n/a
775785.7482	14.5888779	1	11	2	9	n/a	n/a	n/a
775800.4795	11.7679453	1	12	2	20	n/a	n/a	n/a
775812.5431	12.7257709	1	13	2	25	n/a	n/a	n/a
775825.4116	14.3821164	1	14	2	5	n/a	n/a	n/a
775839.9347	15.0121445	1	15	2	16	n/a	n/a	n/a
775855.1008	14.3801338	1	16	2	25	n/a	n/a	n/a
775869.6204	15.8643511	1	17	2	20	n/a	n/a	n/a
775885.7813	11.2653726	1	18	2	6	n/a	n/a	n/a
775897.3532	14.4754544	1	19	2	24	n/a	n/a	n/a
775911.982	14.9609026	1	20	2	4	n/a	n/a	n/a
775927.1032	14.4076521	1	21	2	21	n/a	n/a	n/a
775941.651	14.4752917	1	22	2	6	n/a	n/a	n/a
775956.4139	11.2236506	1	23	2	8	n/a	n/a	n/a
775967.9433	14.2848907	1	24	2	23	n/a	n/a	n/a
775982.3816	14.9626938	1	25	2	22	n/a	n/a	n/a
775997.4857	14.8330282	1	26	2	1	n/a	n/a	n/a
776012.6157	11.5149983	1	27	2	13	n/a	n/a	n/a
776024.4271	13.7870416	1	28	2	3	n/a	n/a	n/a
776038.3557	15.0611055	1	29	2	12	n/a	n/a	n/a
776053.5696	15.0585714	1	30	2	22	n/a	n/a	n/a
776068.7695	11.8031168	1	31	2	21	n/a	n/a	n/a
776080.8576	13.4349288	1	32	2	2	n/a	n/a	n/a
776094.4452	14.36575	1	33	2	18	n/a	n/a	n/a
776108.9564	15.0553105	1	34	2	1	n/a	n/a	n/a
776124.169	14.1933576	1	35	2	16	n/a	n/a	n/a
776138.661	11.5353155	1	36	2	10	n/a	n/a	n/a
776150.489	14.4916049	1	37	2	14	n/a	n/a	n/a
776165.1203	15.0077513	1	38	2	15	n/a	n/a	n/a
776180.2676	14.9126906	1	39	2	10	n/a	n/a	n/a
776195.3255	13.1657634	1	40	2	11	n/a	n/a	n/a
776208.787	12.0497639	1	41	2	4	n/a	n/a	n/a
776220.985	15.0208964	1	42	2	8	n/a	n/a	n/a
776236.1588	15.100836	1	43	2	7	n/a	n/a	n/a
776251.4164	15.2046895	1	44	2	15	n/a	n/a	n/a
776266.7705	13.0214136	1	45	2	3	n/a	n/a	n/a
776280.0859	12.2710755	1	46	2	19	n/a	n/a	n/a
776292.5001	15.0170784	1	47	2	5	n/a	n/a	n/a
776307.6619	15.0324154	1	48	2	23	n/a	n/a	n/a
776322.834	14.4986194	1	49	2	17	n/a	n/a	n/a
776337.6258	12.8868385	1	50	2	2	n/a	n/a	n/a
776350.8098	12.9236399	1	51	2	9	n/a	n/a	n/a
776363.9238	71.768339	1	52	1	13	n/a	n/a	n/a
776435.9827	14.2337628	1	53	3	n/a	1	16	n/a
776450.3692	15.0276239	1	54	3	n/a	2	14	n/a
776465.5379	15.0150404	1	55	3	n/a	3	7	n/a
776480.6971	14.9954402	1	56	3	n/a	2	6	n/a
776495.9823	12.8662668	1	57	3	n/a	2	10	n/a
776509.1425	12.7428192	1	58	3	n/a	2	16	n/a
776522.185	14.6148057	1	59	3	n/a	3	2	n/a
776536.9457	15.6521591	1	60	3	n/a	1	13	n/a
776552.7496	15.1173688	1	61	3	n/a	1	5	n/a
776568.0181	13.9733185	1	62	3	n/a	3	5	n/a
776582.2791	12.9201448	1	63	3	n/a	3	11	n/a
776595.485	13.4879974	1	64	3	n/a	3	2	n/a
776609.1244	15.0212337	1	65	3	n/a	1	11	n/a
776624.2904	15.0872217	1	66	3	n/a	2	14	n/a
776639.5363	14.9089757	1	67	3	n/a	1	14	n/a
776654.7325	13.0612509	1	68	3	n/a	1	2	n/a
776668.0809	12.4351503	1	69	3	n/a	3	13	n/a
776680.657	14.9312746	1	70	3	n/a	3	6	n/a
776695.7561	15.5831744	1	71	3	n/a	1	10	n/a
776711.5002	15.1276745	1	72	3	n/a	1	1	n/a
776726.779	12.9262065	1	73	3	n/a	1	8	n/a
776740.0058	14.0934745	1	74	3	n/a	2	15	n/a
776754.3881	13.2862287	1	75	3	n/a	2	16	n/a
776767.8255	15.219288	1	76	3	n/a	3	18	n/a
776783.1949	15.7102444	1	77	3	n/a	1	2	n/a
776799.0598	15.2428258	1	78	3	n/a	3	4	n/a
776814.4464	13.8626733	1	79	3	n/a	1	6	n/a
