onset	duration	run_number	trial_number	task	fixation_location	pursuit_amplitude	pursuit_angle	image_id
8441.052719	5.9908436	2	1	1	13	n/a	n/a	n/a
8447.051749	1.1915067	2	2	2	18	n/a	n/a	n/a
8448.251736	1.1913536	2	3	2	21	n/a	n/a	n/a
8449.451393	1.1914979	2	4	2	10	n/a	n/a	n/a
8450.651228	1.1914885	2	5	2	13	n/a	n/a	n/a
8451.851033	1.1915232	2	6	2	4	n/a	n/a	n/a
8453.05089	1.1914781	2	7	2	9	n/a	n/a	n/a
8454.250698	1.1914951	2	8	2	14	n/a	n/a	n/a
8455.450528	1.1915169	2	9	2	2	n/a	n/a	n/a
8456.650404	1.1914548	2	10	2	19	n/a	n/a	n/a
8457.850181	1.1914899	2	11	2	6	n/a	n/a	n/a
8459.050005	1.1914906	2	12	2	2	n/a	n/a	n/a
8460.249825	1.1914948	2	13	2	23	n/a	n/a	n/a
8461.449653	1.1914961	2	14	2	25	n/a	n/a	n/a
8462.649485	1.1914968	2	15	2	13	n/a	n/a	n/a
8463.849317	1.1914652	2	16	2	7	n/a	n/a	n/a
8465.049123	1.1916714	2	17	2	16	n/a	n/a	n/a
8466.248992	1.1914568	2	18	2	12	n/a	n/a	n/a
8467.448908	1.1914952	2	19	2	10	n/a	n/a	n/a
8468.648739	1.1913361	2	20	2	17	n/a	n/a	n/a
8469.848432	1.1915086	2	21	2	24	n/a	n/a	n/a
8471.048273	1.1914776	2	22	2	16	n/a	n/a	n/a
8472.248158	1.191421	2	23	2	21	n/a	n/a	n/a
8473.447907	1.1915091	2	24	2	22	n/a	n/a	n/a
8474.647749	1.1914776	2	25	2	3	n/a	n/a	n/a
8475.847707	1.1913634	2	26	2	1	n/a	n/a	n/a
8477.047386	1.1914919	2	27	2	12	n/a	n/a	n/a
8478.247202	1.1915162	2	28	2	25	n/a	n/a	n/a
8479.447057	1.191489	2	29	2	3	n/a	n/a	n/a
8480.646875	1.1915082	2	30	2	4	n/a	n/a	n/a
8481.846845	1.1912923	2	31	2	11	n/a	n/a	n/a
8483.046647	1.191358	2	32	2	19	n/a	n/a	n/a
8484.246338	1.1915083	2	33	2	23	n/a	n/a	n/a
8485.446363	1.1912955	2	34	2	1	n/a	n/a	n/a
8486.645992	1.191469	2	35	2	17	n/a	n/a	n/a
8487.845793	1.1915052	2	36	2	15	n/a	n/a	n/a
8489.045632	1.1915068	2	37	2	20	n/a	n/a	n/a
8490.245469	1.1914809	2	38	2	18	n/a	n/a	n/a
8491.445283	1.1915041	2	39	2	14	n/a	n/a	n/a
8492.645104	1.1915015	2	40	2	22	n/a	n/a	n/a
8493.845037	1.1913984	2	41	2	5	n/a	n/a	n/a
8495.044762	1.1915027	2	42	2	11	n/a	n/a	n/a
8496.244592	1.1914977	2	43	2	7	n/a	n/a	n/a
8497.444424	1.1914917	2	44	2	20	n/a	n/a	n/a
8498.644251	1.191491	2	45	2	8	n/a	n/a	n/a
8499.844211	1.1913722	2	46	2	5	n/a	n/a	n/a
8501.043916	1.1914794	2	47	2	8	n/a	n/a	n/a
8502.243731	1.1915138	2	48	2	15	n/a	n/a	n/a
8503.443555	1.1914925	2	49	2	6	n/a	n/a	n/a
8504.643523	1.1913631	2	50	2	24	n/a	n/a	n/a
8505.843223	1.1916492	2	51	2	9	n/a	n/a	n/a
8507.043258	5.990573521	2	52	1	13	n/a	n/a	n/a
8513.050618	1.1913648	2	53	3	n/a	3	2	n/a
8514.258845	1.191299	2	54	3	n/a	3	8	n/a
8515.458478	1.1914931	2	55	3	n/a	1	14	n/a
8516.65828	1.191531	2	56	3	n/a	1	13	n/a
8517.85815	1.191476	2	57	3	n/a	2	1	n/a
