onset	duration	run_number	trial_number	task	fixation_location	pursuit_amplitude	pursuit_angle	image_id
587268.3424	7.993136286	1	1	1	13	n/a	n/a	n/a
587276.3439	1.591889649	1	2	2	16	n/a	n/a	n/a
587277.9441	1.591898819	1	3	2	3	n/a	n/a	n/a
587279.5443	1.591908666	1	4	2	6	n/a	n/a	n/a
587281.1446	1.591901666	1	5	2	23	n/a	n/a	n/a
587282.7448	1.591914911	1	6	2	10	n/a	n/a	n/a
587284.3451	1.591905555	1	7	2	18	n/a	n/a	n/a
587285.9453	1.591903666	1	8	2	1	n/a	n/a	n/a
587287.5456	1.591911078	1	9	2	11	n/a	n/a	n/a
587289.1458	1.591908233	1	10	2	2	n/a	n/a	n/a
587290.7461	1.591906322	1	11	2	16	n/a	n/a	n/a
587292.3463	1.591915689	1	12	2	18	n/a	n/a	n/a
587293.9466	1.591907533	1	13	2	20	n/a	n/a	n/a
587295.5468	1.591909278	1	14	2	10	n/a	n/a	n/a
587297.1471	1.591888911	1	15	2	11	n/a	n/a	n/a
587298.7473	1.591907178	1	16	2	4	n/a	n/a	n/a
587300.3475	1.591906478	1	17	2	24	n/a	n/a	n/a
587301.9478	1.5919127	1	18	2	6	n/a	n/a	n/a
587303.548	1.591923325	1	19	2	19	n/a	n/a	n/a
587305.1483	1.591917912	1	20	2	14	n/a	n/a	n/a
587306.7485	1.591917212	1	21	2	17	n/a	n/a	n/a
587308.3488	1.591912612	1	22	2	3	n/a	n/a	n/a
587309.949	1.591908255	1	23	2	9	n/a	n/a	n/a
587311.5492	1.591910245	1	24	2	14	n/a	n/a	n/a
587313.1495	1.600248	1	25	2	25	n/a	n/a	n/a
587314.7581	1.5919047	1	26	2	22	n/a	n/a	n/a
587316.3583	1.5919156	1	27	2	1	n/a	n/a	n/a
587317.9586	1.591906378	1	28	2	22	n/a	n/a	n/a
587319.5588	1.591906722	1	29	2	12	n/a	n/a	n/a
587321.159	1.591917834	1	30	2	19	n/a	n/a	n/a
587322.7593	1.591909089	1	31	2	15	n/a	n/a	n/a
587324.3595	1.591915212	1	32	2	12	n/a	n/a	n/a
587325.9598	1.591911522	1	33	2	20	n/a	n/a	n/a
587327.56	1.5919129	1	34	2	24	n/a	n/a	n/a
587329.1603	1.591930516	1	35	2	5	n/a	n/a	n/a
587330.7605	1.591924081	1	36	2	21	n/a	n/a	n/a
587332.3608	1.591905945	1	37	2	8	n/a	n/a	n/a
587333.961	1.591913112	1	38	2	4	n/a	n/a	n/a
587335.5613	1.591904833	1	39	2	7	n/a	n/a	n/a
587337.1615	1.5919168	1	40	2	25	n/a	n/a	n/a
587338.7617	1.591908611	1	41	2	2	n/a	n/a	n/a
587340.362	1.591909955	1	42	2	17	n/a	n/a	n/a
587341.9622	1.591911588	1	43	2	7	n/a	n/a	n/a
587343.5625	1.591907988	1	44	2	8	n/a	n/a	n/a
587345.1627	1.591884505	1	45	2	5	n/a	n/a	n/a
587346.763	1.591900175	1	46	2	9	n/a	n/a	n/a
587348.3632	1.591905266	1	47	2	13	n/a	n/a	n/a
587349.9635	1.591903888	1	48	2	23	n/a	n/a	n/a
587351.5637	1.591908388	1	49	2	21	n/a	n/a	n/a
587353.1639	1.5919166	1	50	2	13	n/a	n/a	n/a
587354.7642	1.591913078	1	51	2	15	n/a	n/a	n/a
587356.3644	7.992888155	1	52	1	13	n/a	n/a	n/a
587364.3657	1.5919092	1	53	3	n/a	3	3	n/a
587365.9659	1.591910922	1	54	3	n/a	2	11	n/a
587367.5662	1.591909379	1	55	3	n/a	2	13	n/a
587369.1664	1.591909633	1	56	3	n/a	2	5	n/a
587370.7666	1.591924416	1	57	3	n/a	2	1	n/a
587372.3669	1.591916112	1	58	3	n/a	1	12	n/a
587373.9671	1.591910623	1	59	3	n/a	3	3	n/a
587375.5674	1.591909489	1	60	3	n/a	3	12	n/a
587377.1676	1.591904055	1	61	3	n/a	1	10	n/a
587378.7679	1.591917422	1	62	3	n/a	2	2	n/a
587380.3681	1.591915222	1	63	3	n/a	3	9	n/a
587381.9684	1.5919152	1	64	3	n/a	2	1	n/a
587383.5686	1.591905689	1	65	3	n/a	1	18	n/a
587385.1688	1.591913356	1	66	3	n/a	2	9	n/a
587386.7691	1.591891317	1	67	3	n/a	3	16	n/a
587388.3693	1.591909387	1	68	3	n/a	3	12	n/a
587389.9696	1.591904611	1	69	3	n/a	3	3	n/a
587391.5698	1.591914633	1	70	3	n/a	3	11	n/a
587393.1701	1.591902699	1	71	3	n/a	2	4	n/a
587394.7703	1.5919062	1	72	3	n/a	2	3	n/a
587396.3706	1.591904478	1	73	3	n/a	3	13	n/a
587397.9708	1.591908233	1	74	3	n/a	2	12	n/a
587399.571	1.591912012	1	75	3	n/a	2	2	n/a
587401.1713	1.591905922	1	76	3	n/a	3	7	n/a
587402.7715	1.591914811	1	77	3	n/a	3	15	n/a
587404.3718	1.591908921	1	78	3	n/a	1	9	n/a
587405.972	1.591907645	1	79	3	n/a	1	1	n/a
587407.5723	1.5919085	1	80	3	n/a	2	5	n/a
587409.1725	1.5919091	1	81	3	n/a	3	13	n/a
587410.7728	1.591906967	1	82	3	n/a	2	1	n/a
587412.373	1.5919085	1	83	3	n/a	1	7	n/a
587413.9733	1.591912034	1	84	3	n/a	1	13	n/a
587415.5735	1.591915134	1	85	3	n/a	1	6	n/a
587417.1737	1.591911967	1	86	3	n/a	2	17	n/a
587418.774	1.591909879	1	87	3	n/a	1	15	n/a
587420.3742	1.591909012	1	88	3	n/a	1	6	n/a
587421.9745	1.591916389	1	89	3	n/a	1	14	n/a
587423.5747	1.5919065	1	90	3	n/a	2	9	n/a
587425.175	1.591909522	1	91	3	n/a	1	18	n/a
587426.7752	1.591918646	1	92	3	n/a	1	2	n/a
587428.3755	1.591917667	1	93	3	n/a	2	7	n/a
587429.9757	1.591908211	1	94	3	n/a	3	15	n/a
587431.5759	1.591912611	1	95	3	n/a	3	4	n/a
587433.1762	1.591907933	1	96	3	n/a	1	8	n/a
587434.7764	1.591907544	1	97	3	n/a	1	10	n/a
587436.3767	1.591911433	1	98	3	n/a	3	18	n/a
587437.9769	1.591901377	1	99	3	n/a	1	15	n/a
587439.5772	1.591912445	1	100	3	n/a	2	6	n/a
587441.1774	1.591912078	1	101	3	n/a	3	9	n/a
587442.7777	1.591914678	1	102	3	n/a	3	18	n/a
587444.3779	1.5919088	1	103	3	n/a	1	12	n/a
587445.9782	1.591907011	1	104	3	n/a	3	17	n/a
587447.5784	1.591905233	1	105	3	n/a	1	6	n/a
587449.1786	1.591907833	1	106	3	n/a	2	4	n/a
587450.7789	7.992894845	1	107	1	13	n/a	n/a	n/a
587458.7799	4.792649931	1	108	4	n/a	n/a	n/a	5
587463.5892	4.792382351	1	109	4	n/a	n/a	n/a	9
587468.3899	4.792402689	1	110	4	n/a	n/a	n/a	8
587473.1907	4.7923964	1	111	4	n/a	n/a	n/a	10
587477.9914	4.792397589	1	112	4	n/a	n/a	n/a	4
587482.792	4.792523478	1	113	4	n/a	n/a	n/a	3
587487.5929	4.792404922	1	114	4	n/a	n/a	n/a	7
587492.4019	4.792397967	1	115	4	n/a	n/a	n/a	1
