onset	duration	run_number	trial_number	task	fixation_location	pursuit_amplitude	pursuit_angle	image_id
4374.236638	5.9907402	3	1	1	13	n/a	n/a	n/a
4380.235722	1.1914869	3	2	2	3	n/a	n/a	n/a
4381.435542	1.1915022	3	3	2	24	n/a	n/a	n/a
4382.63534	1.1915394	3	4	2	10	n/a	n/a	n/a
4383.83518	1.1915269	3	5	2	8	n/a	n/a	n/a
4385.043526	1.1913469	3	6	2	6	n/a	n/a	n/a
4386.243188	1.1915102	3	7	2	20	n/a	n/a	n/a
4387.44305	1.191493	3	8	2	21	n/a	n/a	n/a
4388.642865	1.1914774	3	9	2	1	n/a	n/a	n/a
4389.842681	1.1914998	3	10	2	12	n/a	n/a	n/a
4391.042537	1.1914948	3	11	2	17	n/a	n/a	n/a
4392.242362	1.1914853	3	12	2	19	n/a	n/a	n/a
4393.442172	1.1914737	3	13	2	14	n/a	n/a	n/a
4394.642118	1.1913895	3	14	2	20	n/a	n/a	n/a
4395.841838	1.1915041	3	15	2	22	n/a	n/a	n/a
4397.0418	1.1913788	3	16	2	5	n/a	n/a	n/a
4398.241501	1.1915074	3	17	2	16	n/a	n/a	n/a
4399.441298	1.1915315	3	18	2	13	n/a	n/a	n/a
4400.641209	1.1914355	3	19	2	2	n/a	n/a	n/a
4401.840975	1.1915072	3	20	2	19	n/a	n/a	n/a
4403.040817	1.191486	3	21	2	11	n/a	n/a	n/a
4404.240645	1.1915221	3	22	2	17	n/a	n/a	n/a
4405.440462	1.1915232	3	23	2	18	n/a	n/a	n/a
4406.640291	1.1914905	3	24	2	6	n/a	n/a	n/a
4407.840226	1.1914034	3	25	2	2	n/a	n/a	n/a
4409.040088	1.1914919	3	26	2	25	n/a	n/a	n/a
4410.239793	1.1914868	3	27	2	5	n/a	n/a	n/a
4411.439764	1.1913503	3	28	2	23	n/a	n/a	n/a
4412.639438	1.1915137	3	29	2	16	n/a	n/a	n/a
4413.839291	1.1914652	3	30	2	21	n/a	n/a	n/a
4415.039109	1.1914805	3	31	2	15	n/a	n/a	n/a
4416.239125	1.1914598	3	32	2	9	n/a	n/a	n/a
4417.43887	1.1914078	3	33	2	3	n/a	n/a	n/a
4418.638608	1.1914781	3	34	2	25	n/a	n/a	n/a
4419.838553	1.191354	3	35	2	13	n/a	n/a	n/a
4421.038416	1.1913541	3	36	2	9	n/a	n/a	n/a
4422.238103	1.1914797	3	37	2	7	n/a	n/a	n/a
4423.437911	1.1914853	3	38	2	11	n/a	n/a	n/a
4424.637719	1.1914813	3	39	2	8	n/a	n/a	n/a
4425.837684	1.1913672	3	40	2	4	n/a	n/a	n/a
4427.037385	1.191692262	3	41	2	24	n/a	n/a	n/a
4428.237202	1.1915259	3	42	2	12	n/a	n/a	n/a
4429.43706	1.191488	3	43	2	4	n/a	n/a	n/a
4430.636867	1.1916203	3	44	2	7	n/a	n/a	n/a
4431.836881	1.1912902	3	45	2	1	n/a	n/a	n/a
4433.036589	1.1914428	3	46	2	14	n/a	n/a	n/a
4434.236369	1.1915085	3	47	2	15	n/a	n/a	n/a
4435.436207	1.191471	3	48	2	18	n/a	n/a	n/a
4436.636103	1.1915877	3	49	2	23	n/a	n/a	n/a
4437.835856	1.1914795	3	50	2	10	n/a	n/a	n/a
4439.03573	1.1916843	3	51	2	22	n/a	n/a	n/a
4440.235512	5.9908667	3	52	1	13	n/a	n/a	n/a
4446.234702	1.1914701	3	53	3	n/a	1	5	n/a
4447.44296	1.1913726	3	54	3	n/a	3	10	n/a
4448.642637	1.1915278	3	55	3	n/a	1	16	n/a
4449.842541	1.1914626	3	56	3	n/a	1	1	n/a
4451.042338	1.1916194	3	57	3	n/a	1	14	n/a
4452.250682	1.1912998	3	58	3	n/a	2	14	n/a
4453.45046	1.191339	3	59	3	n/a	1	9	n/a
4454.650147	1.1914546	3	60	3	n/a	3	6	n/a
4455.849976	1.1914843	3	61	3	n/a	2	15	n/a
4457.049799	1.1915137	3	62	3	n/a	1	13	n/a
4458.249638	1.1915081	3	63	3	n/a	3	4	n/a
4459.449483	1.1914929	3	64	3	n/a	3	1	n/a
4460.649296	1.1915268	3	65	3	n/a	3	15	n/a
4461.849122	1.1914696	3	66	3	n/a	1	9	n/a
4463.04904	1.1914115	3	67	3	n/a	3	2	n/a
4464.248785	1.1915066	3	68	3	n/a	1	7	n/a
4465.448618	1.1914892	3	69	3	n/a	3	8	n/a
4466.648441	1.1915117	3	70	3	n/a	2	16	n/a
4467.848391	1.1913652	3	71	3	n/a	3	4	n/a
4469.048228	1.1913398	3	72	3	n/a	3	12	n/a
4470.248056	1.191359	3	73	3	n/a	2	9	n/a
4471.447755	1.1915166	3	74	3	n/a	3	17	n/a
4472.647603	1.1914983	3	75	3	n/a	2	10	n/a
4473.847429	1.1914625	3	76	3	n/a	1	4	n/a
4475.047345	1.1913814	3	77	3	n/a	2	11	n/a
4476.247051	1.1914812	3	78	3	n/a	3	1	n/a
4477.447014	1.1913765	3	79	3	n/a	2	18	n/a
4478.646753	1.191455	3	80	3	n/a	3	9	n/a
4479.84654	1.191693	3	81	3	n/a	2	6	n/a
4481.046519	1.191506	3	82	3	n/a	1	6	n/a
4482.246225	1.1914684	3	83	3	n/a	2	16	n/a
4483.446187	1.191325	3	84	3	n/a	1	10	n/a
4484.645909	1.1914868	3	85	3	n/a	3	1	n/a
4485.845759	1.1914525	3	86	3	n/a	2	4	n/a
4487.045545	1.1915146	3	87	3	n/a	3	15	n/a
4488.245409	1.1914528	3	88	3	n/a	2	7	n/a
4489.445317	1.1913732	3	89	3	n/a	1	17	n/a
4490.645034	1.1915002	3	90	3	n/a	3	14	n/a
4491.844863	1.1914976	3	91	3	n/a	3	11	n/a
4493.04483	1.1913642	3	92	3	n/a	2	9	n/a
4494.244524	1.1914821	3	93	3	n/a	3	5	n/a
