onset	duration	run_number	trial_number	task	fixation_location	pursuit_amplitude	pursuit_angle	image_id
3405.782675	7.9898359	3	1	1	13	n/a	n/a	n/a
3413.780858	1.5918673	3	2	2	15	n/a	n/a	n/a
3415.381045	1.591896	3	3	2	9	n/a	n/a	n/a
3416.981256	1.5919002	3	4	2	16	n/a	n/a	n/a
3418.581453	1.5919041	3	5	2	4	n/a	n/a	n/a
3420.181698	1.5918492	3	6	2	22	n/a	n/a	n/a
3421.781899	1.5918824	3	7	2	25	n/a	n/a	n/a
3423.382112	1.5918845	3	8	2	21	n/a	n/a	n/a
3424.982305	1.5918789	3	9	2	2	n/a	n/a	n/a
3426.582525	1.59187	3	10	2	12	n/a	n/a	n/a
3428.182747	1.5918452	3	11	2	23	n/a	n/a	n/a
3429.782964	1.5917533	3	12	2	2	n/a	n/a	n/a
3431.383165	1.5918578	3	13	2	21	n/a	n/a	n/a
3432.983385	1.5917996	3	14	2	8	n/a	n/a	n/a
3434.583469	1.5919922	3	15	2	24	n/a	n/a	n/a
3436.183805	1.5919041	3	16	2	17	n/a	n/a	n/a
3437.784023	1.5918589	3	17	2	6	n/a	n/a	n/a
3439.384204	1.5917598	3	18	2	20	n/a	n/a	n/a
3440.984277	1.5918548	3	19	2	18	n/a	n/a	n/a
3442.584629	1.5918925	3	20	2	9	n/a	n/a	n/a
3444.184842	1.5918677	3	21	2	3	n/a	n/a	n/a
3445.785051	1.591741	3	22	2	5	n/a	n/a	n/a
3447.38513	1.5920108	3	23	2	6	n/a	n/a	n/a
3448.985355	1.5919991	3	24	2	11	n/a	n/a	n/a
3450.585688	1.5918658	3	25	2	10	n/a	n/a	n/a
3452.185789	1.5919906	3	26	2	7	n/a	n/a	n/a
3453.786095	1.5917601	3	27	2	24	n/a	n/a	n/a
3455.386194	1.5919904	3	28	2	1	n/a	n/a	n/a
3456.986539	1.5918688	3	29	2	5	n/a	n/a	n/a
3458.586686	1.5919539	3	30	2	20	n/a	n/a	n/a
3460.18689	1.5919206	3	31	2	12	n/a	n/a	n/a
3461.787163	1.5918384	3	32	2	15	n/a	n/a	n/a
3463.387378	1.5917132	3	33	2	14	n/a	n/a	n/a
3464.987598	1.5917373	3	34	2	1	n/a	n/a	n/a
3466.587767	1.5918826	3	35	2	7	n/a	n/a	n/a
3468.188014	1.5918055	3	36	2	25	n/a	n/a	n/a
3469.788214	1.5918476	3	37	2	23	n/a	n/a	n/a
3471.388411	1.5919066	3	38	2	19	n/a	n/a	n/a
3472.988631	1.5917547	3	39	2	14	n/a	n/a	n/a
3474.58873	1.591991	3	40	2	11	n/a	n/a	n/a
3476.18906	1.5918498	3	41	2	10	n/a	n/a	n/a
3477.789199	1.5919524	3	42	2	22	n/a	n/a	n/a
3479.389368	1.5919868	3	43	2	4	n/a	n/a	n/a
3480.989518	1.5920225	3	44	2	13	n/a	n/a	n/a
3482.589862	1.5917966	3	45	2	18	n/a	n/a	n/a
3484.190032	1.5919566	3	46	2	16	n/a	n/a	n/a
3485.790297	1.5918029	3	47	2	8	n/a	n/a	n/a
3487.39045	1.591955	3	48	2	3	n/a	n/a	n/a
3488.990709	1.5919093	3	49	2	13	n/a	n/a	n/a
3490.590952	1.5917043	3	50	2	19	n/a	n/a	n/a
3492.191143	1.5918264	3	51	2	17	n/a	n/a	n/a
3493.791396	7.9926101	3	52	1	13	n/a	n/a	n/a
3501.792365	1.5918118	3	53	3	n/a	2	16	n/a
3503.39262	1.5918955	3	54	3	n/a	3	10	n/a
3504.992852	1.5918825	3	55	3	n/a	3	2	n/a
3506.593043	1.5918887	3	56	3	n/a	2	8	n/a
3508.193269	1.591877	3	57	3	n/a	2	15	n/a
3509.793462	1.5917183	3	58	3	n/a	3	7	n/a
3511.393662	1.5918815	3	59	3	n/a	3	16	n/a
3512.993903	1.5918597	3	60	3	n/a	1	4	n/a
3514.59409	1.591875	3	61	3	n/a	1	17	n/a
3516.19429	1.5917521	3	62	3	n/a	1	8	n/a
3517.794524	1.5918848	3	63	3	n/a	2	11	n/a
3519.394655	1.5918611	3	64	3	n/a	1	4	n/a
3520.994851	1.5919793	3	65	3	n/a	2	15	n/a
3522.595165	1.5918706	3	66	3	n/a	1	9	n/a
3524.19537	1.5918447	3	67	3	n/a	3	4	n/a
3525.795592	1.5918705	3	68	3	n/a	2	15	n/a
3527.395806	1.59186	3	69	3	n/a	3	4	n/a
3528.996011	1.5918288	3	70	3	n/a	3	11	n/a
3530.5962	1.5918733	3	71	3	n/a	3	18	n/a
3532.196416	1.5918757	3	72	3	n/a	1	10	n/a
3533.796613	1.5919065	3	73	3	n/a	1	5	n/a
3535.39682	1.5918031	3	74	3	n/a	3	13	n/a
3536.99695	1.591975	3	75	3	n/a	1	5	n/a
3538.597263	1.5917026	3	76	3	n/a	3	17	n/a
3540.197462	1.5917593	3	77	3	n/a	1	11	n/a
3541.797679	1.5918142	3	78	3	n/a	2	3	n/a
3543.397885	1.5918852	3	79	3	n/a	3	10	n/a
3544.998056	1.5917492	3	80	3	n/a	2	3	n/a
3546.598186	1.5919706	3	81	3	n/a	2	12	n/a
3548.198525	1.5917411	3	82	3	n/a	1	5	n/a
3549.798735	1.5918401	3	83	3	n/a	2	17	n/a
3551.398924	1.5917663	3	84	3	n/a	1	13	n/a
3552.999031	1.5918874	3	85	3	n/a	3	5	n/a
3554.599262	1.5919473	3	86	3	n/a	1	18	n/a
3556.19948	1.5917999	3	87	3	n/a	2	9	n/a
3557.799764	1.591907	3	88	3	n/a	3	18	n/a
3559.399956	1.5919147	3	89	3	n/a	2	8	n/a
3561.000125	1.5919396	3	90	3	n/a	3	16	n/a
3562.600421	1.5918697	3	91	3	n/a	2	11	n/a
3564.200539	1.5919674	3	92	3	n/a	2	2	n/a
3565.800817	1.5918955	3	93	3	n/a	1	6	n/a
3567.401047	1.5918816	3	94	3	n/a	3	12	n/a
3569.001257	1.5918836	3	95	3	n/a	2	1	n/a
3570.601327	1.5919265	3	96	3	n/a	1	10	n/a
3572.201593	1.5919652	3	97	3	n/a	2	5	n/a
3573.801887	1.5917534	3	98	3	n/a	3	14	n/a
3575.402069	1.5919222	3	99	3	n/a	1	2	n/a
3577.002304	1.5918812	3	100	3	n/a	2	10	n/a
3578.602518	1.5918724	3	101	3	n/a	1	3	n/a
3580.202715	1.5918814	3	102	3	n/a	2	13	n/a
3581.802938	1.5918717	3	103	3	n/a	1	5	n/a
3583.403154	1.5918712	3	104	3	n/a	1	2	n/a
3585.003376	1.5918699	3	105	3	n/a	3	11	n/a
3586.603587	1.5918517	3	106	3	n/a	3	14	n/a
3588.203618	7.9928684	3	107	1	13	n/a	n/a	n/a
3596.204838	4.7922735	3	108	4	n/a	n/a	n/a	6
3601.005459	4.7921756	3	109	4	n/a	n/a	n/a	8
3605.806108	4.7923356	3	110	4	n/a	n/a	n/a	4
3610.606721	4.7922984	3	111	4	n/a	n/a	n/a	10
3615.40724	4.7924086	3	112	4	n/a	n/a	n/a	2
3620.207993	4.7922302	3	113	4	n/a	n/a	n/a	7
3625.008611	4.7921543	3	114	4	n/a	n/a	n/a	5
3629.809199	4.7923499	3	115	4	n/a	n/a	n/a	1
3634.609857	4.7923271	3	116	4	n/a	n/a	n/a	3
3639.410384	4.7924192	3	117	4	n/a	n/a	n/a	9
3644.21115	7.9926297	3	118	1	13	n/a	n/a	n/a
