onset	duration	run_number	trial_number	task	fixation_location	pursuit_amplitude	pursuit_angle	image_id
4961.28438	7.993125735	1	1	1	13	n/a	n/a	n/a
4969.285838	1.591914044	1	2	2	1	n/a	n/a	n/a
4970.886082	1.591905744	1	3	2	24	n/a	n/a	n/a
4972.486328	1.591895091	1	4	2	20	n/a	n/a	n/a
4974.086572	1.591898989	1	5	2	3	n/a	n/a	n/a
4975.686808	1.591911334	1	6	2	7	n/a	n/a	n/a
4977.287053	1.591905889	1	7	2	25	n/a	n/a	n/a
4978.887301	1.5919065	1	8	2	13	n/a	n/a	n/a
4980.487538	1.591910522	1	9	2	7	n/a	n/a	n/a
4982.087785	1.591910622	1	10	2	14	n/a	n/a	n/a
4983.688027	1.5919088	1	11	2	19	n/a	n/a	n/a
4985.288267	1.591908233	1	12	2	25	n/a	n/a	n/a
4986.888515	1.5919032	1	13	2	13	n/a	n/a	n/a
4988.488755	1.591909144	1	14	2	22	n/a	n/a	n/a
4990.088996	1.591910511	1	15	2	1	n/a	n/a	n/a
4991.68924	1.591912211	1	16	2	6	n/a	n/a	n/a
4993.289486	1.591906911	1	17	2	16	n/a	n/a	n/a
4994.889727	1.591908055	1	18	2	2	n/a	n/a	n/a
4996.489973	1.591906989	1	19	2	5	n/a	n/a	n/a
4998.09016	1.591967279	1	20	2	11	n/a	n/a	n/a
4999.690428	1.591938861	1	21	2	3	n/a	n/a	n/a
5001.290681	1.591931551	1	22	2	23	n/a	n/a	n/a
5002.89094	1.591907022	1	23	2	18	n/a	n/a	n/a
5004.491186	1.591907677	1	24	2	20	n/a	n/a	n/a
5006.091431	1.591905434	1	25	2	15	n/a	n/a	n/a
5007.691668	1.591911022	1	26	2	6	n/a	n/a	n/a
5009.291918	1.591904756	1	27	2	9	n/a	n/a	n/a
5010.892156	1.591909534	1	28	2	15	n/a	n/a	n/a
5012.492401	1.5919035	1	29	2	11	n/a	n/a	n/a
5014.092642	1.591912189	1	30	2	10	n/a	n/a	n/a
5015.692889	1.591869029	1	31	2	14	n/a	n/a	n/a
5017.293132	1.591888982	1	32	2	8	n/a	n/a	n/a
5018.893371	1.591904623	1	33	2	9	n/a	n/a	n/a
5020.493613	1.591909067	1	34	2	8	n/a	n/a	n/a
5022.09386	1.591906178	1	35	2	22	n/a	n/a	n/a
5023.694105	1.591906089	1	36	2	2	n/a	n/a	n/a
5025.294348	1.591899723	1	37	2	12	n/a	n/a	n/a
5026.894587	1.591908589	1	38	2	24	n/a	n/a	n/a
5028.49483	1.591907589	1	39	2	16	n/a	n/a	n/a
5030.095072	1.591908734	1	40	2	21	n/a	n/a	n/a
5031.695317	1.591907756	1	41	2	17	n/a	n/a	n/a
5033.295558	1.591905278	1	42	2	12	n/a	n/a	n/a
5034.895796	1.5919146	1	43	2	4	n/a	n/a	n/a
5036.496045	1.591902856	1	44	2	5	n/a	n/a	n/a
5038.096286	1.591905422	1	45	2	23	n/a	n/a	n/a
5039.696526	1.5919126	1	46	2	18	n/a	n/a	n/a
5041.296771	1.591904186	1	47	2	21	n/a	n/a	n/a
5042.89701	1.591906889	1	48	2	19	n/a	n/a	n/a
5044.497252	1.591913811	1	49	2	10	n/a	n/a	n/a
5046.097496	1.591909811	1	50	2	17	n/a	n/a	n/a
5047.697739	1.591909778	1	51	2	4	n/a	n/a	n/a
5049.297982	7.992875778	1	52	1	13	n/a	n/a	n/a
5057.299193	1.591887526	1	53	3	n/a	1	2	n/a
5058.899441	1.591896669	1	54	3	n/a	2	11	n/a
5060.499677	1.591901169	1	55	3	n/a	2	6	n/a
5062.099921	1.59190459	1	56	3	n/a	1	17	n/a
5063.700168	1.591903	1	57	3	n/a	2	14	n/a
5065.30041	1.5919093	1	58	3	n/a	2	2	n/a
5066.90065	1.591907978	1	59	3	n/a	3	8	n/a
5068.500896	1.591908078	1	60	3	n/a	2	10	n/a
5070.101137	1.591903956	1	61	3	n/a	3	15	n/a
5071.701377	1.591911878	1	62	3	n/a	1	6	n/a
5073.301619	1.591917899	1	63	3	n/a	1	14	n/a
5074.901867	1.591902611	1	64	3	n/a	2	3	n/a
5076.502108	1.5919035	1	65	3	n/a	1	10	n/a
5078.102346	1.591908078	1	66	3	n/a	3	1	n/a
5079.70259	1.5919077	1	67	3	n/a	3	16	n/a
5081.302837	1.591909022	1	68	3	n/a	3	9	n/a
5082.903073	1.591909544	1	69	3	n/a	2	18	n/a
5084.503314	1.591909333	1	70	3	n/a	2	9	n/a
5086.10356	1.591907711	1	71	3	n/a	1	8	n/a
5087.7038	1.591909989	1	72	3	n/a	3	17	n/a
5089.304041	1.591912455	1	73	3	n/a	2	5	n/a
5090.90429	1.591904211	1	74	3	n/a	1	12	n/a
5092.504528	1.591908211	1	75	3	n/a	2	2	n/a
5094.104776	1.591905044	1	76	3	n/a	3	11	n/a
5095.705019	1.5919023	1	77	3	n/a	3	4	n/a
5097.305259	1.591911722	1	78	3	n/a	2	17	n/a
5098.905502	1.591905422	1	79	3	n/a	2	13	n/a
5100.505747	1.591907311	1	80	3	n/a	3	6	n/a
5102.105985	1.591905111	1	81	3	n/a	1	16	n/a
5103.70623	1.591910034	1	82	3	n/a	2	9	n/a
5105.306473	1.591902811	1	83	3	n/a	1	4	n/a
5106.906714	1.591904189	1	84	3	n/a	1	1	n/a
5108.50696	1.591904411	1	85	3	n/a	2	14	n/a
5110.1072	1.591904534	1	86	3	n/a	1	5	n/a
5111.707445	1.5919033	1	87	3	n/a	1	7	n/a
5113.307681	1.5919082	1	88	3	n/a	3	15	n/a
5114.907929	1.591908722	1	89	3	n/a	1	14	n/a
5116.508169	1.591907544	1	90	3	n/a	2	4	n/a
5118.108411	1.591910922	1	91	3	n/a	2	12	n/a
5119.708651	1.591908722	1	92	3	n/a	3	7	n/a
5121.308896	1.591906522	1	93	3	n/a	1	15	n/a
5122.90914	1.591906844	1	94	3	n/a	3	3	n/a
5124.509387	1.5919046	1	95	3	n/a	3	12	n/a
5126.109586	1.591949582	1	96	3	n/a	3	2	n/a
5127.709846	1.591929729	1	97	3	n/a	2	12	n/a
5129.310106	1.591919632	1	98	3	n/a	3	4	n/a
5130.910348	1.591911433	1	99	3	n/a	3	13	n/a
5132.510593	1.59191251	1	100	3	n/a	1	9	n/a
5134.110842	1.5919032	1	101	3	n/a	2	4	n/a
5135.711079	1.591906211	1	102	3	n/a	3	17	n/a
5137.311326	1.591903456	1	103	3	n/a	1	15	n/a
5138.911567	1.5919086	1	104	3	n/a	3	8	n/a
5140.511806	1.591909844	1	105	3	n/a	1	13	n/a
5142.112054	1.591902578	1	106	3	n/a	1	11	n/a
5143.712293	7.99288	1	107	1	13	n/a	n/a	n/a
5151.713508	4.792392411	1	108	4	n/a	n/a	n/a	7
5156.514239	4.792370514	1	109	4	n/a	n/a	n/a	4
5161.314965	4.792387034	1	110	4	n/a	n/a	n/a	9
5166.11569	4.792395089	1	111	4	n/a	n/a	n/a	8
5170.916275	4.800870586	1	112	4	n/a	n/a	n/a	1
5175.725484	4.792388867	1	113	4	n/a	n/a	n/a	5
5180.526211	4.792394633	1	114	4	n/a	n/a	n/a	6
5185.326938	4.792388146	1	115	4	n/a	n/a	n/a	10
5190.127625	4.792435949	1	116	4	n/a	n/a	n/a	3
5194.928313	4.792470041	1	117	4	n/a	n/a	n/a	2
5199.729121	7.992872956	1	118	1	13	n/a	n/a	n/a
