onset	duration	run_number	trial_number	task	fixation_location	pursuit_amplitude	pursuit_angle	image_id
190017.4367	6.017346084	1	1	1	13	n/a	n/a	n/a
190023.4658	1.196501166	1	2	2	24	n/a	n/a	n/a
190024.6669	1.18897	1	3	2	12	n/a	n/a	n/a
190025.8697	1.189013333	1	4	2	17	n/a	n/a	n/a
190027.0724	1.185799042	1	5	2	21	n/a	n/a	n/a
190028.2709	1.1855645	1	6	2	19	n/a	n/a	n/a
190029.4654	1.19186425	1	7	2	15	n/a	n/a	n/a
190030.6708	1.19125475	1	8	2	11	n/a	n/a	n/a
190031.8652	1.20581825	1	9	2	8	n/a	n/a	n/a
190033.0756	1.195425458	1	10	2	9	n/a	n/a	n/a
190034.2792	1.191871417	1	11	2	25	n/a	n/a	n/a
190035.4791	1.191410666	1	12	2	5	n/a	n/a	n/a
190036.6736	1.205478625	1	13	2	8	n/a	n/a	n/a
190037.8834	1.191335125	1	14	2	24	n/a	n/a	n/a
190039.0874	1.186682583	1	15	2	6	n/a	n/a	n/a
190040.2875	1.191239125	1	16	2	19	n/a	n/a	n/a
190041.487	1.192069667	1	17	2	10	n/a	n/a	n/a
190042.6823	1.189257458	1	18	2	18	n/a	n/a	n/a
190043.8875	1.185008458	1	19	2	4	n/a	n/a	n/a
190045.0876	1.191570583	1	20	2	16	n/a	n/a	n/a
190046.2837	1.195245166	1	21	2	13	n/a	n/a	n/a
190047.4831	1.191150875	1	22	2	22	n/a	n/a	n/a
190048.6872	1.191730708	1	23	2	7	n/a	n/a	n/a
190049.8826	1.191673166	1	24	2	23	n/a	n/a	n/a
190051.0874	1.191677	1	25	2	17	n/a	n/a	n/a
190052.2875	1.191625584	1	26	2	7	n/a	n/a	n/a
190053.4874	1.19150275	1	27	2	1	n/a	n/a	n/a
190054.6826	1.196512166	1	28	2	12	n/a	n/a	n/a
190055.8873	1.191679708	1	29	2	4	n/a	n/a	n/a
190057.0827	1.192437	1	30	2	5	n/a	n/a	n/a
190058.2807	1.198389625	1	31	2	11	n/a	n/a	n/a
190059.4873	1.186553667	1	32	2	13	n/a	n/a	n/a
190060.687	1.191927	1	33	2	9	n/a	n/a	n/a
190061.8831	1.192088292	1	34	2	14	n/a	n/a	n/a
190063.0812	1.193438667	1	35	2	10	n/a	n/a	n/a
190064.2875	1.191532334	1	36	2	21	n/a	n/a	n/a
190065.4829	1.196480959	1	37	2	20	n/a	n/a	n/a
190066.6872	1.185533208	1	38	2	25	n/a	n/a	n/a
190067.8873	1.191564792	1	39	2	23	n/a	n/a	n/a
190069.0834	1.195520375	1	40	2	3	n/a	n/a	n/a
190070.2833	1.189024125	1	41	2	20	n/a	n/a	n/a
190071.4874	1.191662417	1	42	2	22	n/a	n/a	n/a
190072.6871	1.187424041	1	43	2	3	n/a	n/a	n/a
190073.8874	1.478755958	1	44	2	18	n/a	n/a	n/a
190075.3789	1.2250085	1	45	2	16	n/a	n/a	n/a
190076.6084	1.19091375	1	46	2	2	n/a	n/a	n/a
190077.8123	1.185257542	1	47	2	1	n/a	n/a	n/a
190079.0124	1.18767575	1	48	2	2	n/a	n/a	n/a
190080.2061	1.197780875	1	49	2	15	n/a	n/a	n/a
190081.4122	1.187683208	1	50	2	14	n/a	n/a	n/a
190082.6124	1.191319958	1	51	2	6	n/a	n/a	n/a
190083.8092	5.9882155	1	52	1	13	n/a	n/a	n/a
190089.809	1.188308167	1	53	3	n/a	3	9	n/a
190091.0098	1.190226625	1	54	3	n/a	1	14	n/a
190092.2054	1.193865958	1	55	3	n/a	1	7	n/a
190093.4052	1.194860375	1	56	3	n/a	3	3	n/a
190094.614	1.189874459	1	57	3	n/a	2	14	n/a
190095.813	1.187070542	1	58	3	n/a	2	7	n/a
190097.0052	1.192486166	1	59	3	n/a	1	2	n/a
190098.2118	1.192110833	1	60	3	n/a	1	11	n/a
190099.4117	1.185522083	1	61	3	n/a	3	1	n/a
190100.6123	1.191518542	1	62	3	n/a	3	13	n/a
190101.808	1.190479125	1	63	3	n/a	3	17	n/a
190103.0123	1.191574583	1	64	3	n/a	2	12	n/a
190104.212	1.191705167	1	65	3	n/a	3	8	n/a
190105.4077	1.195978542	1	66	3	n/a	2	5	n/a
190106.6082	1.191911541	1	67	3	n/a	1	4	n/a
190107.8055	1.198368416	1	68	3	n/a	1	8	n/a
190109.0121	1.187794167	1	69	3	n/a	3	15	n/a
190110.2055	1.191648833	1	70	3	n/a	1	11	n/a
190111.4123	1.191472	1	71	3	n/a	1	15	n/a
190112.612	1.187997083	1	72	3	n/a	3	3	n/a
190113.8055	1.198273417	1	73	3	n/a	2	3	n/a
190115.0084	1.195382792	1	74	3	n/a	2	8	n/a
190116.212	1.187994834	1	75	3	n/a	3	14	n/a
190117.4059	1.197813916	1	76	3	n/a	2	11	n/a
190118.6082	1.192015375	1	77	3	n/a	2	15	n/a
190119.8061	1.197913959	1	78	3	n/a	1	2	n/a
190121.0119	1.200367167	1	79	3	n/a	2	1	n/a
190122.2204	1.187219375	1	80	3	n/a	2	4	n/a
190123.4202	1.188033333	1	81	3	n/a	3	15	n/a
190124.6139	1.198196958	1	82	3	n/a	2	4	n/a
190125.8166	1.195501833	1	83	3	n/a	2	9	n/a
190127.0167	1.188686167	1	84	3	n/a	1	10	n/a
190128.2204	1.191725666	1	85	3	n/a	1	13	n/a
190129.4204	1.190909833	1	86	3	n/a	3	18	n/a
190130.6246	1.191717333	1	87	3	n/a	3	4	n/a
190131.8245	1.187846	1	88	3	n/a	1	5	n/a
190133.018	1.198325875	1	89	3	n/a	1	12	n/a
190134.2244	1.191705917	1	90	3	n/a	3	15	n/a
190135.4207	1.1955745	1	91	3	n/a	2	10	n/a
190136.6201	1.191912083	1	92	3	n/a	2	3	n/a
190137.8247	1.191294583	1	93	3	n/a	3	12	n/a
190139.0219	1.194371666	1	94	3	n/a	1	1	n/a
190140.2242	1.186507375	1	95	3	n/a	3	5	n/a
190141.4246	1.195684125	1	96	3	n/a	3	16	n/a
190142.6327	1.187868125	1	97	3	n/a	1	5	n/a
190143.8262	1.194685333	1	98	3	n/a	2	7	n/a
190145.0256	1.940195416	1	99	3	n/a	2	10	n/a
190146.9691	1.220129917	1	100	3	n/a	2	6	n/a
190148.2038	1.440891667	1	101	3	n/a	3	10	n/a
190149.658	1.41656975	1	102	3	n/a	1	16	n/a
190151.0826	1.187125375	1	103	3	n/a	3	6	n/a
190152.2829	1.191610917	1	104	3	n/a	2	15	n/a
190153.4826	1.191934458	1	105	3	n/a	1	18	n/a
190154.6803	1.194084542	1	106	3	n/a	1	3	n/a
190155.8826	5.991764959	1	107	1	13	n/a	n/a	n/a
190161.8925	3.591296292	1	108	4	n/a	n/a	n/a	8
190165.4976	3.58897025	1	109	4	n/a	n/a	n/a	5
190169.0977	3.59330325	1	110	4	n/a	n/a	n/a	1
190172.7059	3.589551417	1	111	4	n/a	n/a	n/a	9
190176.3121	3.592351291	1	112	4	n/a	n/a	n/a	7
190179.9158	3.58713875	1	113	4	n/a	n/a	n/a	4
190183.5137	3.594055208	1	114	4	n/a	n/a	n/a	10
190187.1186	3.5953335	1	115	4	n/a	n/a	n/a	2
190190.724	3.595972666	1	116	4	n/a	n/a	n/a	6
190194.3318	3.591748375	1	117	4	n/a	n/a	n/a	3
190197.9369	5.991569375	1	118	1	13	n/a	n/a	n/a
