onset	duration	run_number	trial_number	task	fixation_location	pursuit_amplitude	pursuit_angle	image_id
1199897.288	10.42911304	1	1	1	13	n/a	n/a	n/a
1199907.742	2.104155625	1	2	2	19	n/a	n/a	n/a
1199909.863	2.033322708	1	3	2	14	n/a	n/a	n/a
1199911.909	2.033322875	1	4	2	1	n/a	n/a	n/a
1199913.967	2.054155875	1	5	2	17	n/a	n/a	n/a
1199916.042	2.016656083	1	6	2	4	n/a	n/a	n/a
1199918.08	2.0499895	1	7	2	18	n/a	n/a	n/a
1199920.142	2.041655917	1	8	2	10	n/a	n/a	n/a
1199922.196	2.091656084	1	9	2	3	n/a	n/a	n/a
1199924.3	2.079155625	1	10	2	17	n/a	n/a	n/a
1199926.392	2.066655959	1	11	2	7	n/a	n/a	n/a
1199928.471	2.020822791	1	12	2	15	n/a	n/a	n/a
1199930.504	2.029156042	1	13	2	16	n/a	n/a	n/a
1199932.546	2.045822458	1	14	2	3	n/a	n/a	n/a
1199934.604	2.09165575	1	15	2	12	n/a	n/a	n/a
1199936.717	2.054156041	1	16	2	5	n/a	n/a	n/a
1199938.792	2.070822417	1	17	2	2	n/a	n/a	n/a
1199940.875	2.108322458	1	18	2	6	n/a	n/a	n/a
1199942.996	2.037489501	1	19	2	1	n/a	n/a	n/a
1199945.046	2.066655708	1	20	2	10	n/a	n/a	n/a
1199947.125	2.029156417	1	21	2	5	n/a	n/a	n/a
1199949.175	2.070822584	1	22	2	14	n/a	n/a	n/a
1199951.259	2.212488208	1	23	2	2	n/a	n/a	n/a
1199953.488	2.574986667	1	24	2	9	n/a	n/a	n/a
1199956.075	2.466654125	1	25	2	4	n/a	n/a	n/a
1199958.558	2.316654666	1	26	2	21	n/a	n/a	n/a
1199960.892	2.033322958	1	27	2	20	n/a	n/a	n/a
1199962.946	2.058322833	1	28	2	11	n/a	n/a	n/a
1199965.017	2.0499895	1	29	2	6	n/a	n/a	n/a
1199967.079	2.058322625	1	30	2	13	n/a	n/a	n/a
1199969.15	2.062489458	1	31	2	12	n/a	n/a	n/a
1199971.229	2.083322333	1	32	2	7	n/a	n/a	n/a
1199973.329	2.104155876	1	33	2	21	n/a	n/a	n/a
1199975.446	2.062489292	1	34	2	20	n/a	n/a	n/a
1199977.521	2.079156125	1	35	2	13	n/a	n/a	n/a
1199979.613	2.058322667	1	36	2	8	n/a	n/a	n/a
1199981.683	2.104155875	1	37	2	19	n/a	n/a	n/a
1199983.8	2.049989458	1	38	2	18	n/a	n/a	n/a
1199985.871	2.070822542	1	39	2	16	n/a	n/a	n/a
1199987.954	2.045822833	1	40	2	11	n/a	n/a	n/a
1199990.012	2.066655833	1	41	2	8	n/a	n/a	n/a
1199992.092	2.062489542	1	42	2	9	n/a	n/a	n/a
1199994.167	2.070822583	1	43	2	15	n/a	n/a	n/a
1199996.258	10.39994588	1	44	1	13	n/a	n/a	n/a
1200006.683	2.062489334	1	45	3	n/a	3	17	n/a
1200008.771	2.07915575	1	46	3	n/a	1	10	n/a
1200010.867	2.062489292	1	47	3	n/a	3	18	n/a
1200012.942	2.062489041	1	48	3	n/a	1	10	n/a
1200015.025	2.054155917	1	49	3	n/a	1	1	n/a
1200017.1	2.062489333	1	50	3	n/a	3	6	n/a
1200019.183	2.074989125	1	51	3	n/a	3	14	n/a
1200021.275	2.054156209	1	52	3	n/a	2	5	n/a
1200023.35	2.087489166	1	53	3	n/a	2	3	n/a
1200025.45	2.033322709	1	54	3	n/a	2	8	n/a
1200027.496	2.074988958	1	55	3	n/a	3	15	n/a
1200029.579	1.987489959	1	56	3	n/a	2	6	n/a
1200031.579	2.054155833	1	57	3	n/a	1	17	n/a
1200033.646	2.099989167	1	58	3	n/a	3	9	n/a
1200035.758	2.091655542	1	59	3	n/a	3	12	n/a
1200037.862	2.091655958	1	60	3	n/a	1	2	n/a
1200039.966	2.066656	1	61	3	n/a	2	2	n/a
1200042.046	2.062489375	1	62	3	n/a	3	12	n/a
1200044.121	2.058322709	1	63	3	n/a	3	4	n/a
1200046.191	2.104155792	1	64	3	n/a	3	11	n/a
1200048.316	2.070822542	1	65	3	n/a	2	14	n/a
1200050.4	2.124988959	1	66	3	n/a	1	4	n/a
1200052.537	2.024989583	1	67	3	n/a	2	4	n/a
1200054.575	2.066655917	1	68	3	n/a	2	10	n/a
1200056.654	2.066655916	1	69	3	n/a	2	17	n/a
1200058.741	2.066655875	1	70	3	n/a	1	6	n/a
1200060.825	2.108322625	1	71	3	n/a	3	15	n/a
1200062.945	2.062489124	1	72	3	n/a	3	11	n/a
1200065.02	2.05832275	1	73	3	n/a	2	11	n/a
1200067.091	2.05415575	1	74	3	n/a	2	3	n/a
1200069.158	2.124989292	1	75	3	n/a	3	8	n/a
1200071.295	2.049989459	1	76	3	n/a	2	15	n/a
1200073.358	2.079156	1	77	3	n/a	3	3	n/a
1200075.458	2.066655667	1	78	3	n/a	3	10	n/a
1200077.537	2.195821667	1	79	3	n/a	1	5	n/a
1200079.758	2.087489375	1	80	3	n/a	1	15	n/a
1200081.858	2.087489	1	81	3	n/a	1	18	n/a
1200083.958	2.074989375	1	82	3	n/a	1	3	n/a
1200086.045	2.05415575	1	83	3	n/a	2	15	n/a
1200088.12	2.037489749	1	84	3	n/a	1	7	n/a
1200090.179	2.054155875	1	85	3	n/a	2	16	n/a
1200092.254	2.10415575	1	86	3	n/a	1	8	n/a
1200094.379	2.070822792	1	87	3	n/a	3	2	n/a
1200096.462	2.087489209	1	88	3	n/a	2	17	n/a
1200098.562	2.06248925	1	89	3	n/a	1	5	n/a
1200100.637	2.029156334	1	90	3	n/a	1	1	n/a
1200102.687	2.062489291	1	91	3	n/a	1	16	n/a
1200104.77	2.070822375	1	92	3	n/a	2	6	n/a
1200106.858	2.074989417	1	93	3	n/a	2	9	n/a
1200108.945	2.020822625	1	94	3	n/a	1	12	n/a
1200110.979	2.079156125	1	95	3	n/a	1	13	n/a
1200113.07	2.0624895	1	96	3	n/a	2	1	n/a
1200115.145	2.074989208	1	97	3	n/a	3	6	n/a
1200117.237	2.09165575	1	98	3	n/a	3	3	n/a
1200119.349	10.29994637	1	99	1	13	n/a	n/a	n/a
1200129.687	6.224967542	1	100	4	n/a	n/a	n/a	4
1200135.953	7.066630083	1	101	4	n/a	n/a	n/a	8
1200143.049	6.145801375	1	102	4	n/a	n/a	n/a	5
1200149.224	6.224967875	1	103	4	n/a	n/a	n/a	9
1200155.499	6.204134375	1	104	4	n/a	n/a	n/a	1
1200161.737	6.245801125	1	105	4	n/a	n/a	n/a	2
1200168.012	5.970802291	1	106	4	n/a	n/a	n/a	3
1200174.02	6.25830075	1	107	4	n/a	n/a	n/a	10
1200180.311	6.241634292	1	108	4	n/a	n/a	n/a	7
1200186.591	6.308300333	1	109	4	n/a	n/a	n/a	6
1200192.92	10.41244554	1	110	1	13	n/a	n/a	n/a
