onset	duration	run_number	trial_number	task	fixation_location	pursuit_amplitude	pursuit_angle	image_id
928.7128404	5.9910122	1	1	1	13	n/a	n/a	n/a
934.7121132	1.1915264	1	2	2	19	n/a	n/a	n/a
935.9119631	1.1915564	1	3	2	21	n/a	n/a	n/a
937.1118615	1.1915312	1	4	2	4	n/a	n/a	n/a
938.3117435	1.1914977	1	5	2	9	n/a	n/a	n/a
939.5115521	1.1915381	1	6	2	14	n/a	n/a	n/a
940.7114165	1.1915195	1	7	2	17	n/a	n/a	n/a
941.9112682	1.1915863	1	8	2	16	n/a	n/a	n/a
943.1111371	1.1915203	1	9	2	12	n/a	n/a	n/a
944.3109928	1.1915499	1	10	2	2	n/a	n/a	n/a
945.5108482	1.1914982	1	11	2	25	n/a	n/a	n/a
946.7106925	1.1915252	1	12	2	22	n/a	n/a	n/a
947.9105528	1.191506	1	13	2	21	n/a	n/a	n/a
949.1104083	1.1915045	1	14	2	11	n/a	n/a	n/a
950.3102626	1.1915219	1	15	2	8	n/a	n/a	n/a
951.5101523	1.191527	1	16	2	22	n/a	n/a	n/a
952.7099994	1.1915016	1	17	2	3	n/a	n/a	n/a
953.9098734	1.1915115	1	18	2	10	n/a	n/a	n/a
955.1097306	1.1915274	1	19	2	9	n/a	n/a	n/a
956.3095596	1.191573	1	20	2	11	n/a	n/a	n/a
957.5094657	1.1915027	1	21	2	17	n/a	n/a	n/a
958.7093056	1.1914913	1	22	2	6	n/a	n/a	n/a
959.9091432	1.1915196	1	23	2	14	n/a	n/a	n/a
961.1090085	1.191477	1	24	2	4	n/a	n/a	n/a
962.3088265	1.1915035	1	25	2	23	n/a	n/a	n/a
963.5086978	1.1915143	1	26	2	7	n/a	n/a	n/a
964.708586	1.1914861	1	27	2	1	n/a	n/a	n/a
965.9084086	1.1915287	1	28	2	20	n/a	n/a	n/a
967.1082656	1.1915015	1	29	2	23	n/a	n/a	n/a
968.3081512	1.1914802	1	30	2	10	n/a	n/a	n/a
969.5079475	1.1915577	1	31	2	18	n/a	n/a	n/a
970.7078381	1.1915015	1	32	2	16	n/a	n/a	n/a
971.9077304	1.1914859	1	33	2	5	n/a	n/a	n/a
973.1075407	1.1915097	1	34	2	12	n/a	n/a	n/a
974.3074052	1.191521	1	35	2	15	n/a	n/a	n/a
975.5072957	1.1914631	1	36	2	7	n/a	n/a	n/a
976.7070788	1.1915572	1	37	2	20	n/a	n/a	n/a
977.9069748	1.1915185	1	38	2	24	n/a	n/a	n/a
979.1068421	1.1915234	1	39	2	25	n/a	n/a	n/a
980.3066793	1.1914927	1	40	2	19	n/a	n/a	n/a
981.5065568	1.1915055	1	41	2	8	n/a	n/a	n/a
982.7063875	1.1916645	1	42	2	3	n/a	n/a	n/a
983.9063136	1.1914517	1	43	2	24	n/a	n/a	n/a
985.106123	1.191462	1	44	2	18	n/a	n/a	n/a
986.3059328	1.1915485	1	45	2	1	n/a	n/a	n/a
987.5058207	1.1915998	1	46	2	15	n/a	n/a	n/a
988.7056623	1.1915249	1	47	2	13	n/a	n/a	n/a
989.9055113	1.1915551	1	48	2	2	n/a	n/a	n/a
991.1053649	1.1915525	1	49	2	5	n/a	n/a	n/a
992.3052463	1.1915348	1	50	2	6	n/a	n/a	n/a
993.5051156	1.1915356	1	51	2	13	n/a	n/a	n/a
994.7049538	5.9909263	1	52	1	13	n/a	n/a	n/a
1000.704215	1.1915422	1	53	3	n/a	3	2	n/a
1001.904111	1.1914897	1	54	3	n/a	3	9	n/a
1003.103962	1.1914658	1	55	3	n/a	3	16	n/a
1004.303759	1.1915499	1	56	3	n/a	1	3	n/a
1005.503618	1.19152	1	57	3	n/a	2	14	n/a
1006.703566	1.1914657	1	58	3	n/a	3	8	n/a
1007.903355	1.1915093	1	59	3	n/a	3	15	n/a
1009.103203	1.1915147	1	60	3	n/a	2	7	n/a
1010.303075	1.1915	1	61	3	n/a	1	1	n/a
1011.502903	1.191564	1	62	3	n/a	3	7	n/a
1012.702793	1.1915249	1	63	3	n/a	3	8	n/a
1013.902647	1.1915252	1	64	3	n/a	2	1	n/a
1015.102506	1.191637	1	65	3	n/a	2	15	n/a
1016.302344	1.1915737	1	66	3	n/a	1	12	n/a
1017.502216	1.1915212	1	67	3	n/a	2	3	n/a
1018.702056	1.1915345	1	68	3	n/a	2	11	n/a
1019.901912	1.1915349	1	69	3	n/a	2	5	n/a
1021.101785	1.1915089	1	70	3	n/a	1	1	n/a
1022.301594	1.1915944	1	71	3	n/a	2	16	n/a
1023.501476	1.1915142	1	72	3	n/a	1	10	n/a
1024.701328	1.1915087	1	73	3	n/a	1	5	n/a
1025.901158	1.1915353	1	74	3	n/a	3	12	n/a
1027.101037	1.1914931	1	75	3	n/a	1	5	n/a
1028.300868	1.1915218	1	76	3	n/a	2	2	n/a
1029.500723	1.1915219	1	77	3	n/a	2	18	n/a
1030.700567	1.1915219	1	78	3	n/a	3	15	n/a
1031.900432	1.1915201	1	79	3	n/a	2	17	n/a
1033.100274	1.1915348	1	80	3	n/a	1	11	n/a
1034.300138	1.1915286	1	81	3	n/a	1	13	n/a
