onset	duration	run_number	trial_number	task	fixation_location	pursuit_amplitude	pursuit_angle	image_id
181834.8279	6.0015439	2	1	1	13	n/a	n/a	n/a
181840.8378	1.1920685	2	2	2	11	n/a	n/a	n/a
181842.0382	1.1921156	2	3	2	19	n/a	n/a	n/a
181843.2386	1.1920658	2	4	2	2	n/a	n/a	n/a
181844.439	1.1920651	2	5	2	16	n/a	n/a	n/a
181845.6394	1.1920638	2	6	2	12	n/a	n/a	n/a
181846.8398	1.1920719	2	7	2	17	n/a	n/a	n/a
181848.0402	1.1920629	2	8	2	4	n/a	n/a	n/a
181849.2406	1.1920358	2	9	2	25	n/a	n/a	n/a
181850.441	1.1920747	2	10	2	13	n/a	n/a	n/a
181851.6414	1.1921794	2	11	2	5	n/a	n/a	n/a
181852.8418	1.1920641	2	12	2	8	n/a	n/a	n/a
181854.0422	1.1920638	2	13	2	7	n/a	n/a	n/a
181855.2426	1.1920711	2	14	2	24	n/a	n/a	n/a
181856.443	1.1920757	2	15	2	18	n/a	n/a	n/a
181857.6437	1.1918102	2	16	2	11	n/a	n/a	n/a
181858.8437	1.1921303	2	17	2	13	n/a	n/a	n/a
181860.0442	1.1920721	2	18	2	21	n/a	n/a	n/a
181861.2446	1.1920639	2	19	2	14	n/a	n/a	n/a
181862.445	1.1920689	2	20	2	23	n/a	n/a	n/a
181863.6454	1.1920633	2	21	2	24	n/a	n/a	n/a
181864.8458	1.1921023	2	22	2	15	n/a	n/a	n/a
181866.0462	1.1919955	2	23	2	8	n/a	n/a	n/a
181867.2466	1.1920284	2	24	2	7	n/a	n/a	n/a
181868.447	1.1920613	2	25	2	5	n/a	n/a	n/a
181869.6474	1.192111	2	26	2	20	n/a	n/a	n/a
181870.8479	1.1919633	2	27	2	14	n/a	n/a	n/a
181872.0482	1.1921104	2	28	2	10	n/a	n/a	n/a
181873.2486	1.1920591	2	29	2	12	n/a	n/a	n/a
181874.449	1.1920677	2	30	2	9	n/a	n/a	n/a
181875.6494	1.1920839	2	31	2	10	n/a	n/a	n/a
181876.8498	1.1920773	2	32	2	3	n/a	n/a	n/a
181878.0502	1.1920486	2	33	2	20	n/a	n/a	n/a
181879.2506	1.1920604	2	34	2	1	n/a	n/a	n/a
181880.451	1.1920558	2	35	2	16	n/a	n/a	n/a
181881.6514	1.1920862	2	36	2	4	n/a	n/a	n/a
181882.8518	1.1920582	2	37	2	25	n/a	n/a	n/a
181884.0522	1.192068	2	38	2	6	n/a	n/a	n/a
181885.2526	1.1920677	2	39	2	22	n/a	n/a	n/a
181886.453	1.1920919	2	40	2	15	n/a	n/a	n/a
181887.6534	1.1920499	2	41	2	3	n/a	n/a	n/a
181888.8538	1.1920525	2	42	2	6	n/a	n/a	n/a
181890.0542	1.1919784	2	43	2	1	n/a	n/a	n/a
181891.2546	1.1920694	2	44	2	2	n/a	n/a	n/a
181892.455	1.1920565	2	45	2	22	n/a	n/a	n/a
181893.6554	1.192069	2	46	2	17	n/a	n/a	n/a
181894.8558	1.1920684	2	47	2	19	n/a	n/a	n/a
181896.0562	1.1920635	2	48	2	18	n/a	n/a	n/a
181897.2566	1.1920396	2	49	2	21	n/a	n/a	n/a
181898.457	1.1920765	2	50	2	9	n/a	n/a	n/a
181899.6574	1.1921054	2	51	2	23	n/a	n/a	n/a
181900.8578	5.993623	2	52	1	13	n/a	n/a	n/a
181906.8598	1.1920219	2	53	3	n/a	1	16	n/a
181908.0602	1.1920544	2	54	3	n/a	1	15	n/a
181909.2606	1.1921102	2	55	3	n/a	2	12	n/a
181910.461	1.192058	2	56	3	n/a	1	5	n/a
181911.6614	1.19206	2	57	3	n/a	1	14	n/a
181912.8618	1.1921149	2	58	3	n/a	2	8	n/a
181914.0622	1.1920592	2	59	3	n/a	3	4	n/a
181915.2626	1.1920903	2	60	3	n/a	3	14	n/a
181916.463	1.192071	2	61	3	n/a	1	4	n/a
181917.6634	1.1920694	2	62	3	n/a	2	9	n/a
181918.8638	1.1920564	2	63	3	n/a	3	1	n/a
181920.0642	1.1920573	2	64	3	n/a	3	4	n/a
181921.2646	1.1920548	2	65	3	n/a	2	1	n/a
181922.465	1.1920651	2	66	3	n/a	3	13	n/a
181923.6654	1.1920595	2	67	3	n/a	3	9	n/a
181924.8658	1.1920634	2	68	3	n/a	3	16	n/a
181926.0662	1.1920332	2	69	3	n/a	3	2	n/a
181927.2666	1.1920709	2	70	3	n/a	1	7	n/a
181928.467	1.1920864	2	71	3	n/a	2	8	n/a
181929.6674	1.1920755	2	72	3	n/a	3	13	n/a
181930.8678	1.1920634	2	73	3	n/a	2	3	n/a
181932.0682	1.1920584	2	74	3	n/a	2	13	n/a
181933.2686	1.192063	2	75	3	n/a	3	8	n/a
181934.469	1.1920576	2	76	3	n/a	3	18	n/a
181935.6694	1.1920369	2	77	3	n/a	3	10	n/a
181936.8698	1.1921183	2	78	3	n/a	2	18	n/a
181938.0702	1.1921269	2	79	3	n/a	2	5	n/a
181939.2706	1.192069	2	80	3	n/a	2	7	n/a
181940.471	1.1920228	2	81	3	n/a	2	12	n/a
181941.6714	1.1920556	2	82	3	n/a	2	6	n/a
181942.8718	1.1920123	2	83	3	n/a	3	1	n/a
181944.0722	1.192073	2	84	3	n/a	3	18	n/a
181945.2726	1.1921633	2	85	3	n/a	1	10	n/a
181946.473	1.1920606	2	86	3	n/a	1	8	n/a
