onset	duration	run_number	trial_number	task	fixation_location	pursuit_amplitude	pursuit_angle	image_id
306996.6553	12.21784762	1	1	1	13	n/a	n/a	n/a
307008.894	2.320821292	1	2	2	2	n/a	n/a	n/a
307011.2357	2.395820958	1	3	2	19	n/a	n/a	n/a
307013.6523	2.387487625	1	4	2	12	n/a	n/a	n/a
307016.0606	2.40415425	1	5	2	20	n/a	n/a	n/a
307018.4898	2.329154583	1	6	2	6	n/a	n/a	n/a
307020.8273	2.149988917	1	7	2	23	n/a	n/a	n/a
307022.9856	2.04582275	1	8	2	16	n/a	n/a	n/a
307025.0481	1.945823291	1	9	2	9	n/a	n/a	n/a
307027.0022	2.333321291	1	10	2	18	n/a	n/a	n/a
307029.3481	2.395820958	1	11	2	1	n/a	n/a	n/a
307031.7564	2.412487542	1	12	2	4	n/a	n/a	n/a
307034.1814	2.399987583	1	13	2	7	n/a	n/a	n/a
307036.5939	2.429154083	1	14	2	18	n/a	n/a	n/a
307039.0355	2.395820917	1	15	2	17	n/a	n/a	n/a
307041.4438	2.43332075	1	16	2	22	n/a	n/a	n/a
307043.8897	2.412487458	1	17	2	4	n/a	n/a	n/a
307046.3146	2.387487625	1	18	2	11	n/a	n/a	n/a
307048.7146	2.40832075	1	19	2	5	n/a	n/a	n/a
307051.1355	2.395820959	1	20	2	12	n/a	n/a	n/a
307053.5438	2.395820875	1	21	2	8	n/a	n/a	n/a
307055.9521	2.412487542	1	22	2	21	n/a	n/a	n/a
307058.3771	2.395820875	1	23	2	24	n/a	n/a	n/a
307060.7854	2.412487542	1	24	2	14	n/a	n/a	n/a
307063.2104	2.395820917	1	25	2	3	n/a	n/a	n/a
307065.6187	2.395820917	1	26	2	6	n/a	n/a	n/a
307068.027	2.412487542	1	27	2	13	n/a	n/a	n/a
307070.452	2.395820916	1	28	2	17	n/a	n/a	n/a
307072.8603	2.44582075	1	29	2	1	n/a	n/a	n/a
307075.3187	2.408320834	1	30	2	14	n/a	n/a	n/a
307077.7395	2.387487625	1	31	2	15	n/a	n/a	n/a
307080.1395	2.449987416	1	32	2	24	n/a	n/a	n/a
307082.602	2.395821	1	33	2	25	n/a	n/a	n/a
307085.0103	2.391654334	1	34	2	20	n/a	n/a	n/a
307087.4144	2.395820959	1	35	2	7	n/a	n/a	n/a
307089.8228	2.395820917	1	36	2	8	n/a	n/a	n/a
307092.2311	2.387487625	1	37	2	9	n/a	n/a	n/a
307094.6311	2.404154291	1	38	2	13	n/a	n/a	n/a
307097.0477	2.40415425	1	39	2	10	n/a	n/a	n/a
307099.4644	2.4124875	1	40	2	16	n/a	n/a	n/a
307101.8894	2.391654292	1	41	2	11	n/a	n/a	n/a
307104.2935	2.395820958	1	42	2	25	n/a	n/a	n/a
307106.7018	2.404154292	1	43	2	22	n/a	n/a	n/a
307109.1185	2.412487541	1	44	2	2	n/a	n/a	n/a
307111.5435	2.404154208	1	45	2	15	n/a	n/a	n/a
307113.9601	2.404154292	1	46	2	23	n/a	n/a	n/a
307116.3768	2.420820917	1	47	2	3	n/a	n/a	n/a
307118.8101	2.395820917	1	48	2	5	n/a	n/a	n/a
307121.2184	2.416654166	1	49	2	21	n/a	n/a	n/a
307123.6476	2.387487625	1	50	2	10	n/a	n/a	n/a
307126.0476	2.487487208	1	51	2	19	n/a	n/a	n/a
307128.5559	12.06243767	1	52	1	13	n/a	n/a	n/a
307140.6392	2.429154125	1	53	3	n/a	2	7	n/a
307143.0933	2.395821	1	54	3	n/a	3	15	n/a
307145.51	2.412487625	1	55	3	n/a	3	6	n/a
307147.935	2.387487708	1	56	3	n/a	3	15	n/a
307150.3433	2.395820958	1	57	3	n/a	3	5	n/a
307152.7599	2.429154125	1	58	3	n/a	2	1	n/a
307155.2016	2.408320916	1	59	3	n/a	1	13	n/a
307157.6224	2.466653917	1	60	3	n/a	2	15	n/a
307160.1016	2.40415425	1	61	3	n/a	2	10	n/a
307162.5182	2.387487708	1	62	3	n/a	3	7	n/a
307164.9182	2.408320875	1	63	3	n/a	2	2	n/a
307167.339	2.404154208	1	64	3	n/a	3	9	n/a
307169.7557	2.395820958	1	65	3	n/a	1	1	n/a
307172.164	2.40415425	1	66	3	n/a	2	14	n/a
307174.5806	2.4124875	1	67	3	n/a	1	2	n/a
307177.0056	2.404154292	1	68	3	n/a	3	16	n/a
307179.4306	2.437487459	1	69	3	n/a	1	10	n/a
307181.8806	2.41665425	1	70	3	n/a	2	9	n/a
307184.3098	2.41665425	1	71	3	n/a	1	16	n/a
307186.7389	2.40415425	1	72	3	n/a	2	6	n/a
307189.1556	2.395821	1	73	3	n/a	2	14	n/a
307191.5639	2.40415425	1	74	3	n/a	3	4	n/a
307193.9805	2.404154209	1	75	3	n/a	3	4	n/a
307196.3972	2.424987459	1	76	3	n/a	3	13	n/a
307198.8347	2.4124875	1	77	3	n/a	1	9	n/a
307201.2597	2.395820916	1	78	3	n/a	2	2	n/a
307203.668	2.387487708	1	79	3	n/a	3	2	n/a
307206.068	2.429154167	1	80	3	n/a	1	14	n/a
307208.5096	2.395821	1	81	3	n/a	1	14	n/a
307210.918	2.40415425	1	82	3	n/a	1	5	n/a
307213.3346	2.395820958	1	83	3	n/a	2	8	n/a
307215.7429	2.429154083	1	84	3	n/a	2	13	n/a
307218.1846	2.429154083	1	85	3	n/a	3	13	n/a
307220.6262	2.399987666	1	86	3	n/a	2	1	n/a
307223.0387	2.395821042	1	87	3	n/a	1	7	n/a
307225.4471	2.399987625	1	88	3	n/a	3	5	n/a
307227.8595	2.424987542	1	89	3	n/a	2	11	n/a
307230.297	2.4124875	1	90	3	n/a	2	18	n/a
307232.722	2.420820875	1	91	3	n/a	1	15	n/a
307235.1553	2.412487584	1	92	3	n/a	2	3	n/a
307237.5803	2.412487584	1	93	3	n/a	1	8	n/a
307240.0053	2.404154416	1	94	3	n/a	2	17	n/a
307242.422	2.404154292	1	95	3	n/a	1	12	n/a
307244.8386	2.387487667	1	96	3	n/a	1	4	n/a
307247.2386	2.395820959	1	97	3	n/a	1	11	n/a
307249.6469	2.412487667	1	98	3	n/a	3	10	n/a
307252.0719	2.412487625	1	99	3	n/a	3	2	n/a
307254.4969	2.395820958	1	100	3	n/a	3	8	n/a
307256.9052	2.395820917	1	101	3	n/a	3	17	n/a
307259.3135	2.399987625	1	102	3	n/a	2	5	n/a
307261.726	2.462487334	1	103	3	n/a	1	18	n/a
307264.201	2.416654291	1	104	3	n/a	1	11	n/a
307266.6302	2.4249875	1	105	3	n/a	1	8	n/a
307269.076	2.40415425	1	106	3	n/a	3	1	n/a
307271.4926	12.11243754	1	107	1	13	n/a	n/a	n/a
307283.6301	7.229129417	1	108	4	n/a	n/a	n/a	6
307290.8842	7.220796208	1	109	4	n/a	n/a	n/a	3
307298.1258	7.254129375	1	110	4	n/a	n/a	n/a	5
307305.405	7.249962708	1	111	4	n/a	n/a	n/a	10
307312.6799	7.245796083	1	112	4	n/a	n/a	n/a	2
307319.9466	7.233296125	1	113	4	n/a	n/a	n/a	8
307327.2007	7.27912925	1	114	4	n/a	n/a	n/a	9
307334.5007	7.291629084	1	115	4	n/a	n/a	n/a	7
307341.8131	7.258295959	1	116	4	n/a	n/a	n/a	4
307349.0922	7.25412925	1	117	4	n/a	n/a	n/a	1
307356.3589	12.06243779	1	118	1	13	n/a	n/a	n/a
