onset	duration	run_number	trial_number	task	fixation_location	pursuit_amplitude	pursuit_angle	image_id
1110.237192	136.3323042	1	1	1	13	n/a	n/a	n/a
1246.719482	26.5128655	1	2	2	20	n/a	n/a	n/a
1273.40737	24.5964011	1	3	2	2	n/a	n/a	n/a
1298.153711	24.7964515	1	4	2	9	n/a	n/a	n/a
1323.108513	26.0712492	1	5	2	13	n/a	n/a	n/a
1349.346327	25.7629478	1	6	2	1	n/a	n/a	n/a
1375.259249	36.0031431	1	7	2	14	n/a	n/a	n/a
1411.462389	70.4899083	1	8	2	19	n/a	n/a	n/a
1482.110576	45.60183	1	9	2	16	n/a	n/a	n/a
1527.870641	33.5702737	1	10	2	11	n/a	n/a	n/a
1561.590875	30.1873171	1	11	2	15	n/a	n/a	n/a
1591.961509	27.1378746	1	12	2	18	n/a	n/a	n/a
1619.307703	27.8043678	1	13	2	16	n/a	n/a	n/a
1647.562196	31.82862875	1	14	2	9	n/a	n/a	n/a
1679.557448	28.9209066	1	15	2	19	n/a	n/a	n/a
1708.645007	27.5961912	1	16	2	7	n/a	n/a	n/a
1736.416128	29.7707419	1	17	2	17	n/a	n/a	n/a
1766.361936	27.9376706	1	18	2	21	n/a	n/a	n/a
1794.474577	27.9710123	1	19	2	5	n/a	n/a	n/a
1822.595577	30.2624252	1	20	2	11	n/a	n/a	n/a
1853.016379	28.1043218	1	21	2	18	n/a	n/a	n/a
1881.287361	27.6628284	1	22	2	7	n/a	n/a	n/a
1909.108659	25.9295142	1	23	2	3	n/a	n/a	n/a
1935.21316	30.3541022	1	24	2	2	n/a	n/a	n/a
1966.300676	29.7123358	1	25	2	21	n/a	n/a	n/a
1996.179728	30.2374446	1	26	2	14	n/a	n/a	n/a
2026.625456	29.5375211	1	27	2	8	n/a	n/a	n/a
2056.321296	31.5874974	1	28	2	13	n/a	n/a	n/a
2088.100245	29.062585	1	29	2	8	n/a	n/a	n/a
2117.329748	31.228778	1	30	2	17	n/a	n/a	n/a
2148.733571	31.0790201	1	31	2	10	n/a	n/a	n/a
2179.987532	42.6773746	1	32	2	4	n/a	n/a	n/a
2222.856603	37.7281102	1	33	2	15	n/a	n/a	n/a
2260.751321	34.9951904	1	34	2	12	n/a	n/a	n/a
2295.904811	37.0699685	1	35	2	6	n/a	n/a	n/a
2333.166356	33.7953268	1	36	2	20	n/a	n/a	n/a
2367.120103	32.6286792	1	37	2	5	n/a	n/a	n/a
2399.898744	31.4541652	1	38	2	6	n/a	n/a	n/a
2431.527737	35.2452207	1	39	2	3	n/a	n/a	n/a
2466.964646	37.4281233	1	40	2	4	n/a	n/a	n/a
2504.567722	36.2115931	1	41	2	12	n/a	n/a	n/a
2540.971198	33.06207527	1	42	2	10	n/a	n/a	n/a
2574.233059	28.7377727	1	43	2	1	n/a	n/a	n/a
2603.137423	239.5336499	1	44	1	13	n/a	n/a	n/a
2842.854544	28.4792972	1	45	3	n/a	1	1	n/a
2871.517157	27.6545054	1	46	3	n/a	2	4	n/a
2899.363279	28.4877735	1	47	3	n/a	3	15	n/a
2928.009385	27.0212588	1	48	3	n/a	3	8	n/a
2955.188926	24.4966736	1	49	3	n/a	3	8	n/a
2979.843919	28.18798396	1	50	3	n/a	1	16	n/a
3008.215115	26.5212444	1	51	3	n/a	1	7	n/a
3034.886304	24.563289	1	52	3	n/a	1	12	n/a
3059.607957	30.5374434	1	53	3	n/a	2	16	n/a
3090.312048	25.1215653	1	54	3	n/a	3	14	n/a
3115.591903	28.4794415	1	55	3	n/a	3	4	n/a
3144.238052	26.5546367	1	56	3	n/a	1	14	n/a
3170.950945	26.62155283	1	57	3	n/a	2	1	n/a
3197.772377	25.0964347	1	58	3	n/a	3	11	n/a
3223.035528	25.8630501	1	59	3	n/a	2	7	n/a
3249.048624	26.254766	1	60	3	n/a	2	13	n/a
3275.478234	25.1631908	1	61	3	n/a	3	4	n/a
3300.816395	25.7881682	1	62	3	n/a	3	5	n/a
