onset	duration	run_number	trial_number	task	fixation_location	pursuit_amplitude	pursuit_angle	image_id
12831.35558	35.1036502	1	1	1	13	n/a	n/a	n/a
12866.50094	7.5239851	1	2	2	13	n/a	n/a	n/a
12874.06657	6.5907954	1	3	2	14	n/a	n/a	n/a
12880.69903	6.2574839	1	4	2	18	n/a	n/a	n/a
12886.9982	6.9324011	1	5	2	4	n/a	n/a	n/a
12893.97231	7.4739663	1	6	2	7	n/a	n/a	n/a
12901.48793	7.4323388	1	7	2	17	n/a	n/a	n/a
12908.97026	7.2656696	1	8	2	11	n/a	n/a	n/a
12916.26928	7.1990202	1	9	2	5	n/a	n/a	n/a
12923.51846	6.8072885	1	10	2	15	n/a	n/a	n/a
12930.35907	6.2241575	1	11	2	8	n/a	n/a	n/a
12936.62491	6.70743	1	12	2	11	n/a	n/a	n/a
12943.36564	6.9907517	1	13	2	19	n/a	n/a	n/a
12950.39807	7.0323616	1	14	2	21	n/a	n/a	n/a
12957.47212	7.0157	1	15	2	16	n/a	n/a	n/a
12964.52948	6.9490654	1	16	2	4	n/a	n/a	n/a
12971.52017	6.8324301	1	17	2	9	n/a	n/a	n/a
12978.38596	6.1324854	1	18	2	8	n/a	n/a	n/a
12984.55177	6.2658741	1	19	2	19	n/a	n/a	n/a
12990.8593	6.9740257	1	20	2	13	n/a	n/a	n/a
12997.87504	7.1073441	1	21	2	21	n/a	n/a	n/a
13005.02407	7.0407202	1	22	2	10	n/a	n/a	n/a
13012.10648	7.3823013	1	23	2	12	n/a	n/a	n/a
13019.53044	7.2656469	1	24	2	3	n/a	n/a	n/a
13026.83777	6.3657857	1	25	2	16	n/a	n/a	n/a
13033.23693	6.2076145	1	26	2	18	n/a	n/a	n/a
13039.48606	7.0823725	1	27	2	14	n/a	n/a	n/a
13046.61014	7.1323491	1	28	2	10	n/a	n/a	n/a
13053.78415	7.1156906	1	29	2	17	n/a	n/a	n/a
13060.94151	7.124043	1	30	2	12	n/a	n/a	n/a
13068.10725	7.3989927	1	31	2	6	n/a	n/a	n/a
13075.54789	6.449123	1	32	2	9	n/a	n/a	n/a
13082.03031	6.2158754	1	33	2	1	n/a	n/a	n/a
13088.27951	6.9490492	1	34	2	20	n/a	n/a	n/a
13095.26187	6.9740871	1	35	2	5	n/a	n/a	n/a
13102.27759	6.9490941	1	36	2	2	n/a	n/a	n/a
13109.25999	6.9657257	1	37	2	15	n/a	n/a	n/a
13116.26738	7.0740243	1	38	2	3	n/a	n/a	n/a
13123.37473	6.565766	1	39	2	7	n/a	n/a	n/a
13129.97384	6.1825117	1	40	2	1	n/a	n/a	n/a
13136.18967	6.7491093	1	41	2	2	n/a	n/a	n/a
13142.98042	7.0990787	1	42	2	6	n/a	n/a	n/a
13150.12115	7.0490623	1	43	2	20	n/a	n/a	n/a
13157.21188	33.2788262	1	44	1	13	n/a	n/a	n/a
13190.53232	6.9491001	1	45	3	n/a	2	3	n/a
13197.52309	6.9906612	1	46	3	n/a	1	5	n/a
13204.55546	6.899009	1	47	3	n/a	3	13	n/a
13211.48784	6.9157204	1	48	3	n/a	1	12	n/a
13218.44522	6.9407271	1	49	3	n/a	1	4	n/a
13225.42761	6.2741338	1	50	3	n/a	2	16	n/a
13231.73504	6.1574999	1	51	3	n/a	3	4	n/a
13237.92592	6.7823911	1	52	3	n/a	2	17	n/a
13244.75002	6.9656741	1	53	3	n/a	2	10	n/a
13251.75737	6.8907265	1	54	3	n/a	1	9	n/a
13258.68973	6.9741036	1	55	3	n/a	1	6	n/a
13265.70546	6.9407315	1	56	3	n/a	3	17	n/a
13272.70461	6.7073317	1	57	3	n/a	1	15	n/a
13279.46192	6.1325083	1	58	3	n/a	1	3	n/a
13285.62777	6.4657722	1	59	3	n/a	1	11	n/a
13292.15195	6.9073215	1	60	3	n/a	2	5	n/a
13299.10091	6.9324084	1	61	3	n/a	2	15	n/a
13306.07497	7.0157231	1	62	3	n/a	2	9	n/a
13313.14068	6.9323961	1	63	3	n/a	2	8	n/a
13320.11475	6.8740849	1	64	3	n/a	1	1	n/a
13327.03884	6.1491418	1	65	3	n/a	2	1	n/a
13333.22128	6.1991693	1	66	3	n/a	2	13	n/a
13339.45377	6.9907107	1	67	3	n/a	3	2	n/a
13346.47781	7.0323848	1	68	3	n/a	3	10	n/a
13353.55201	7.0072736	1	69	3	n/a	2	4	n/a
13360.59263	7.1739986	1	70	3	n/a	3	13	n/a
13367.80831	7.2823054	1	71	3	n/a	2	17	n/a
13375.14057	6.457457	1	72	3	n/a	3	5	n/a
13381.63972	6.2158357	1	73	3	n/a	1	15	n/a
13387.88887	6.7907293	1	74	3	n/a	1	8	n/a
13394.72127	7.0490351	1	75	3	n/a	1	11	n/a
13401.81195	7.0407397	1	76	3	n/a	3	9	n/a
13408.90268	7.2740303	1	77	3	n/a	3	8	n/a
13416.21837	7.5156325	1	78	3	n/a	2	18	n/a
13423.77567	6.56573	1	79	3	n/a	2	2	n/a
13430.37473	6.1908258	1	80	3	n/a	1	11	n/a
13436.59888	6.6074944	1	81	3	n/a	3	1	n/a
13443.23964	6.9241171	1	82	3	n/a	3	16	n/a
13450.19706	6.8240933	1	83	3	n/a	3	7	n/a
13457.06279	6.8240529	1	84	3	n/a	1	14	n/a
13463.92852	6.8907607	1	85	3	n/a	2	7	n/a
13470.86091	6.9324042	1	86	3	n/a	3	15	n/a
13477.83499	6.140814	1	87	3	n/a	3	12	n/a
13484.00912	6.1408087	1	88	3	n/a	2	11	n/a
13490.19159	7.3323298	1	89	3	n/a	3	8	n/a
13497.55724	7.3157594	1	90	3	n/a	3	4	n/a
13504.92296	7.1990088	1	91	3	n/a	3	14	n/a
13512.16369	6.9823136	1	92	3	n/a	2	17	n/a
13519.19602	7.007389	1	93	3	n/a	1	1	n/a
13526.245	6.2242856	1	94	3	n/a	1	7	n/a
13532.51916	6.2407771	1	95	3	n/a	3	10	n/a
13538.79328	6.9574366	1	96	3	n/a	2	17	n/a
13545.8007	6.8824326	1	97	3	n/a	1	10	n/a
13552.72476	7.0240509	1	98	3	n/a	1	16	n/a
13559.79046	33.3871542	1	99	1	13	n/a	n/a	n/a
13593.26091	22.5385974	1	100	4	n/a	n/a	n/a	7
13615.86612	21.3637934	1	101	4	n/a	n/a	n/a	4
13637.27157	22.4802908	1	102	4	n/a	n/a	n/a	8
13659.80186	22.1220106	1	103	4	n/a	n/a	n/a	3
13681.97384	21.8637203	1	104	4	n/a	n/a	n/a	6
13703.9126	22.6385198	1	105	4	n/a	n/a	n/a	2
13726.60116	21.2554572	1	106	4	n/a	n/a	n/a	9
13747.9066	22.630254	1	107	4	n/a	n/a	n/a	5
13770.58691	21.530358	1	108	4	n/a	n/a	n/a	1
13792.16731	23.0718723	1	109	4	n/a	n/a	n/a	10
13815.27247	33.8871186	1	110	1	13	n/a	n/a	n/a
